"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"34","Tyler Boyd","WR","FA","17","13.3","5.7","20.5","7.6","6.2","12.6","29.5","12.8","9.4","-","6.2","3.6","10","0","14.5","5.1","8.4","10.1","10.3","175.5"
"35","Allen Lazard","WR","FA","15","-","9.3","14.5","17.6","13.5","17.6","11.5","-","18.7","7.5","10.7","4.4","11.7","-","1.7","11.1","10.9","14.1","11.7","174.8"
"36","Gabe Davis","WR","FA","15","18.8","-","6.7","2.3","32.1","16.4","-","5.5","5.3","21.3","11.8","7.8","9.5","6.1","9.6","11.5","-","6.9","11.4","171.6"
"37","Joshua Palmer","WR","BUF","16","3.9","13","15.9","3.5","5.4","14.7","BYE","-","18.6","7.4","30.6","10.6","13","9.3","9.9","3.6","0","9.9","10.6","169.3"
"38","Deebo Samuel Sr.","WR","FA","13","12.6","14.7","12.9","23.7","11.2","16","9.4","-","-","7.1","22.4","7.3","12.3","14.4","-","-","-","4.4","13","168.4"
"39","Donovan Peoples-Jones","WR","FA","17","12","0","2","12.1","9","11.6","11.1","12.1","-","14.9","17.1","3.6","13.4","19.4","13.1","1.2","8.3","6.2","9.8","167.1"
"40","George Pickens","WR","DAL","17","1.3","3.3","6.9","16.2","14.3","5.8","18.1","0","BYE","14.5","18.3","10.7","1.2","10.8","7.3","16.7","4.9","16.2","9.8","166.5"
"41","Christian Watson","WR","GB","14","6.1","3.9","-","9.3","0.8","-","-","2.2","4.4","32.7","21.1","21","24.4","BYE","8.6","10.9","2.1","16.6","11.7","164.1"
"42","Keenan Allen","WR","LAC","10","10.6","-","-","-","-","-","3.1","BYE","-","-","12.4","15.9","20.8","21.2","16.6","21.4","11.8","30.2","16.4","164"
"43","Courtland Sutton","WR","DEN","15","11.2","19.7","17.7","16.2","12.4","3.4","5.3","2.3","BYE","12.6","13","13.5","0","-","-","11.4","8.4","12.3","10.6","159.4"
"44","Hollywood Brown","WR","PHI","12","14.3","12.8","28","20.8","21.8","11.8","BYE","-","-","-","-","10.6","-","7.4","5.9","8.8","12.1","1.7","13","156"
"45","K.J. Osborn","WR","FA","17","4.4","4.5","18.3","1.5","9.1","4.8","-","8.8","0","7.7","3.7","2.3","3.7","14.8","31.7","4.7","18.9","16.7","9.2","155.6"
"46","Mack Hollins","WR","NE","17","2.6","11.6","30","6.3","0","-","12.4","13.4","3.7","3.8","11.2","16.3","8.5","8.2","14","1.7","7","3.5","9.1","154.2"
"47","DeAndre Hopkins","WR","BAL","9","-","-","-","-","-","-","20.3","33.9","13.6","19.8","18.1","18.7","-","12.9","13","1.4","-","-","16.9","151.7"
"48","Parris Campbell","WR","DAL","17","6.7","0","3","8.3","4.2","18.7","23","9.1","3.6","20.6","11.7","3.4","8.5","-","3.3","3.9","8.3","12.8","8.8","149.1"
"49","Brandin Cooks","WR","FA","13","15.2","9.4","4.2","18.7","6","-","8.6","11.3","-","8.2","10","11.1","-","-","-","13.4","7.9","21.6","11.2","145.6"
"50","Richie James Jr.","WR","FA","16","11.1","10.1","8","-0.1","3.6","3.8","1.2","-4","-","-","13.8","15.1","5","19.1","8.2","17","20.6","0","8.3","132.5"
"51","Jahan Dotson","WR","ATL","12","18","17.9","3","13.3","-","-","-","-","-","2.4","2.6","0","16.4","BYE","20.5","19.6","6.7","10.2","10.9","130.6"
"52","Darius Slayton","WR","NYG","15","-","0","0","2.1","13.9","2.8","14.8","11.6","BYE","18.5","13.6","9.3","15","6.2","7.3","11.9","1.4","-","8.6","128.4"
"53","Russell Gage Jr.","WR","FA","13","3.3","7.8","24.7","4.4","6","4","7.9","-","-","-","-","-","2.1","9.2","25.9","11.5","6.3","10.5","9.5","123.6"
"54","Marquez Valdes-Scantling","WR","FA","17","8.1","3.3","8.8","9.3","15","0","14.1","-","2.2","15","2.8","9.6","9.1","3","11.6","0","4.8","5.7","7.2","122.4"
"55","Isaiah McKenzie","WR","FA","16","9.9","5.7","21.2","12.1","-","2.9","-","8","4.1","9.5","0","22.3","9.4","5.8","4.4","0.6","0","3.9","7.5","119.8"
"56","Marvin Jones Jr.","WR","FA","16","7.8","6.3","13.3","0","17.4","-","9.7","0","9.8","4.3","-","11.2","2.7","3.2","9.7","4.5","12.1","4.9","7.3","116.9"
"57","Kalif Raymond","WR","CHI","17","0","0","1.4","5.1","9.5","-","14.5","10.6","4.7","7.7","7","7.5","2.6","3.9","16.3","7.4","7.4","10.6","6.8","116.2"
"58","Devin Duvernay","WR","ARI","14","21.4","12.2","10.3","9.1","12.8","2.4","6.2","16.4","1.5","-","1.7","6.9","10.3","0","4.9","-","-","-","8.3","116.1"
"59","Robert Woods","WR","FA","17","2.3","7.9","12.5","13","7.7","-","5.6","2.6","0","3","12.9","3.6","1.6","9.9","3.2","7","14.9","8","6.8","115.7"
"60","Chris Moore","WR","FA","15","6.1","3.4","9.3","0","-","-","10","-","14.5","10","7.3","2.7","7.6","22.4","8.2","4.5","5.1","4","7.7","115.1"
"61","Noah Brown","WR","FA","16","11.8","20.1","10.4","9.1","1.5","2","8","-","-","1.3","6.2","0","3.5","12.5","22.9","1.5","1.7","2","7.2","114.5"
