#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,17233,Lamar Jackson,QB,BAL,15,33.6,30.9,21.3,26.5,14.4,30.6,23.3,BYE,28.6,33.4,32.8,36.3,22.3,20.8,37.1,29.8,-,28.1,421.7
1,15600,Dak Prescott,QB,DAL,16,33.4,28.7,23.5,8.6,26.2,18.2,21.6,BYE,22.5,26.9,31.6,7.9,23.7,17.5,17.7,11.3,29.6,21.8,348.8
1,13891,Jameis Winston,QB,TB,16,10.1,13.2,26.5,30.3,17.5,17.1,-,21.3,20.2,20.3,18.8,26.3,10.7,37.7,33.7,15,16.5,21,335.4
1,11180,Russell Wilson,QB,SEA,16,16.6,24.2,41.3,14.3,29.9,28.9,15.3,15.7,39.2,17.6,-,10.5,17.9,11.6,19.3,11,20.2,20.9,333.6
1,00-0033537,Deshaun Watson,QB,HOU,15,31.7,12.9,25.8,11.6,41.7,31.4,17.5,27.8,19.7,-,5,19.9,27.9,30.1,18.9,10.1,-,22.1,332
1,17298,Josh Allen,QB,BUF,16,18,22.2,19.3,11.7,18.5,BYE,21.3,17.3,17.6,25.4,33.8,20,23.5,10.7,17.4,20.6,0.2,18.6,297.6
1,18600,Kyler Murray,QB,ARI,16,22.6,16.4,19.8,17.3,25.4,28.8,7,10.1,23,27.8,26.7,BYE,14.3,13,17.4,12.7,15,18.6,297.3
1,16413,Patrick Mahomes II,QB,KC,14,27.3,31.6,27.9,18,18.5,19.8,7.2,-,-,29.8,16.2,BYE,19.5,14.9,23.7,25.4,12.1,20.9,292
1,15520,Carson Wentz,QB,PHI,16,25,19.5,21.7,19.7,12.1,21.5,7.8,14.4,15.1,-,12.3,10.9,25.4,19.9,21.5,19,17.1,17.7,282.9
1,9001,Aaron Rodgers,QB,GB,16,12.9,14.4,13,26.5,9.4,19.3,43.8,27.1,12.9,10,-,9.5,28.1,11.4,14.4,9.3,20,17.6,282.1
1,00-0026143,Matt Ryan,QB,ATL,15,20.6,22.1,23.5,15.7,32.9,30.9,3.6,-,-,15.6,16.4,8.6,18.6,21.3,19.1,18,14.5,18.8,281.3
1,00-0019596,Tom Brady,QB,NE,16,25.6,24.7,20.1,4.7,24.9,23,13,18.4,14.4,-,8.5,11.3,25.3,11.8,12.9,17.2,15.8,17,271.7
1,15501,Jared Goff,QB,LA,16,10.4,19.1,16.1,23.7,18.9,1.1,25,22.9,-,5.7,6.2,6.4,25,18.1,18.6,21.1,25.2,16.5,263.5
1,12208,Jimmy Garoppolo,QB,SF,16,11.4,23.6,11.4,-,14.9,13.1,7,14,28.9,11,31.7,18.2,9.1,29.1,12.6,12.4,11.8,16.3,260.3
1,9509,Philip Rivers,QB,LAC,16,24.9,11.9,19.6,20.4,6.1,16.8,21.2,11,11.8,13.3,16.1,-,17.6,24.6,11.3,11.2,17.7,16,255.5
1,00-0023682,Ryan Fitzpatrick,QB,MIA,15,11.2,1.2,1.2,-,-,9.8,21.6,13.3,23.7,14.1,12.9,25.1,27.8,15.3,20.5,32.7,24.3,17,254.5
1,00-0031280,Derek Carr,QB,LV,16,14.6,11.7,16.7,13.5,8,-,16.7,23.4,19.6,13.1,20.8,5.2,11.6,20.2,15.9,21.9,19.6,15.8,252.4
1,11177,Kirk Cousins,QB,MIN,15,14.3,10.9,12.6,7.3,20.5,28.3,29.2,11.6,21.3,19.3,22.9,-,18,13.6,12.7,7.9,-,16.7,250.4
1,17237,Baker Mayfield,QB,CLE,16,12.4,16,10.7,16.8,0,22.5,BYE,12.6,17.1,17.6,21.8,24.6,9,13,18,15.1,23.1,15.6,250.2
1,18562,Gardner Minshew II,QB,JAX,14,18.6,16.1,18,16.7,21.2,5.6,21,24,9.8,-,-,BYE,11.7,13.6,18.7,14.8,25.5,16.8,235.2
1,00-0029701,Ryan Tannehill,QB,TEN,12,-0.2,-,-,-,-,5.4,20.2,19.4,25,18.9,-,32.4,13.8,28.5,25.2,23.7,17.9,19.2,230.2
1,00-0020531,Drew Brees,QB,NO,11,21.8,0.5,-,-,-,-,-,25.9,-,11.5,21.1,23.4,11.3,40.1,28.3,22.9,22,20.8,228.8
1,18232,Daniel Jones,QB,NYG,13,-0.8,-,34.2,14.3,11.5,8.2,11.4,28.2,12.8,30.3,-,14.7,11.2,-,-,35.3,15.6,17.5,227
1,15642,Jacoby Brissett,QB,IND,15,16.5,17.3,20.8,23.5,11.9,-,27.6,9.5,2.8,-,16.1,13.2,14.7,22.6,7.3,14.7,4.2,14.8,222.7
1,9907,Andy Dalton,QB,CIN,13,20.7,19.6,18.1,4.6,19,14.6,21.3,17.2,-,BYE,-,-,13.3,10.6,6.1,33.8,17.6,16.7,216.7
1,16381,Mitchell Trubisky,QB,CHI,15,9.2,5.6,20.4,0.4,-,-,20,8.1,6.5,19.7,11,20.9,24.9,33.1,18.3,8.3,6.4,14.2,212.8
1,17236,Sam Darnold,QB,NYJ,13,13,-,-,-,-,20.6,-2.7,15.6,13.5,21.7,26.4,28.2,10.5,18.1,16.8,9.6,10.8,15.6,202.2
1,17869,Kyle Allen,QB,CAR,14,0,-,24.3,3.3,11.6,17.4,-,3.3,15.9,14.5,9.7,23.1,24.3,20.1,14.6,-,11.3,13.8,193.5
1,9451,Matthew Stafford,QB,DET,8,27.6,17.1,12.1,23.4,-,11.5,29.6,24.4,25.8,-,-,-,-,-,-,-,-,21.4,171.6
1,17234,Mason Rudolph,QB,PIT,10,-,12.2,15.5,16.9,9.2,-,BYE,17,11.1,13.6,10.3,2.8,-,-,-,9.2,-,11.8,117.8
1,00-0028986,Case Keenum,QB,WAS,10,27.2,16.7,14.6,0.5,-,15.6,3.1,3.2,-,-,-,-0.1,-,-,-,16.4,11.2,10.8,108.5
1,12088,Teddy Bridgewater,QB,NO,10,0,7.1,16.3,7.5,28.3,13.6,19.9,-0.2,-,-,-,-,-,-,-0.3,-,0.3,9.2,92.5
1,9300,Joe Flacco,QB,DEN,8,14.8,16.7,6,23,9,6,6.5,7.9,BYE,-,-,-,-,-,-,-,-,11.2,89.9
1,13890,Marcus Mariota,QB,TEN,7,24.3,13.4,15.6,23.3,8.6,0.9,-,-,-,BYE,-,-,-,-,-,-,1,12.4,87
