#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,AVG,TTL
1,00-0033871,Corey Davis,WR,TEN,14,17.1,12.6,11.9,-,-,-,15.5,26.8,0,11.7,16.3,10,35.2,4.4,21,0,8.9,13.7,191.4
1,16406,Chris Godwin Jr.,WR,TB,12,13.9,-,17.4,-,-,9.8,23.8,-,7.1,15.2,18.3,17.7,BYE,4.5,13.6,19.4,30.3,15.9,191
1,00-0033127,William Fuller V,WR,FA,11,19.2,0,15.4,22.8,15.8,24.3,12.5,-,21,8.8,14,35.1,-,-,-,-,-,17.2,188.9
1,00-0031382,Jarvis Landry,WR,CLE,15,11.1,7.6,7.6,15.3,12.8,7,11,9.2,-,5.9,4.6,28.3,20.4,11.7,19.1,-,16.4,12.5,188
1,00-0031549,Nelson Agholor,WR,LV,16,9.3,2.9,5.2,14.4,14.7,-,21.7,0,13.5,1.8,20.8,10.4,7.8,21,8.9,26.5,6.7,11.6,185.6
1,00-0036261,Brandon Aiyuk,WR,SF,12,-,4.1,21.1,13.6,7.4,9.2,17.5,23.1,-,19.7,BYE,-,20.5,21.9,22.3,4.1,-,15.4,184.5
1,18226,Hollywood Brown,WR,PHI,16,15.1,9.2,3.3,12.6,19.8,9.7,-,7.3,6.8,3.4,0,18.5,14.9,13,15.8,12.5,21.1,11.4,183
1,17606,Russell Gage Jr.,WR,ATL,16,20.4,16.6,4.6,4,3.6,10.5,11.4,4.5,3.1,-,12.8,6.4,15.1,18.8,17.8,6.3,25.2,11.3,181.1
1,00-0034764,Michael Gallup,WR,DAL,16,8,7.8,25.8,4.9,11.3,4.3,0,13.1,6.6,-,4.9,10.1,21.6,4.3,11.6,30.1,8.9,10.8,173.3
1,00-0031941,Jamison Crowder,WR,NYJ,12,24.5,-,-,17.4,25.6,11.8,-,-,10.6,-,2.6,6.1,21.7,2.7,12.6,29.3,7.1,14.3,172
1,00-0031547,DeVante Parker,WR,MIA,14,8.7,16.3,11.9,21,13,6.5,-,7.3,12.4,5.1,18.1,19.9,7.5,0,-,-,18.6,11.9,166.3
1,00-0027685,Emmanuel Sanders,WR,NO,14,10.5,2.8,15.6,15.3,24.2,-,-,-,13.8,1.5,10.6,1.4,8.9,13.8,11.6,13.5,21.3,11.8,164.8
1,00-0029608,T.Y. Hilton,WR,IND,15,9.3,5.8,8.2,5.9,12.9,2.1,-,2.9,-,8,6.6,18.1,25,25.6,11.1,9,13.7,10.9,164.2
1,15569,Sterling Shepard,WR,NYG,12,10.7,5.5,-,-,-,-,17.9,15.4,11.7,10.7,-,13.8,5.2,6.5,8.8,22.7,33.6,13.5,162.5
1,16556,Tim Patrick,WR,DEN,15,6.9,4.4,14.3,23.3,-,14.1,7.4,-,12.9,10.1,16.9,0,20.4,12.6,4.4,6.9,6.6,10.7,161.2
1,19201,Jerry Jeudy,WR,DEN,16,9.6,10.2,10.5,14.1,-,5.2,4,11.3,25.5,10.8,6.7,0,1.5,6.2,2.9,12.1,27,9.9,157.6
1,00-0036268,Laviska Shenault Jr.,WR,JAX,14,13.7,10.2,8.4,14.1,14.9,4.1,7.4,-,0.9,-,-,6.7,15.8,11.1,9.4,15.8,24.6,11.2,157.1
1,00-0033681,Keelan Cole Sr.,WR,JAX,16,15.7,17.8,8.3,8.6,10.7,20.3,2.2,-,1.6,21.7,4.6,7.4,1.7,19.7,4.2,5.6,5.3,9.7,155.4
1,00-0033536,Mike Williams,WR,LAC,15,10.9,3.4,2.7,-,27.9,-,1.4,21,13.1,5.8,17.2,5.6,8.3,0,4.2,9.4,22.8,10.2,153.7
1,00-0034777,DJ Chark Jr.,WR,JAX,13,11.5,12.4,-,29.5,4.6,11.5,3.6,-,27.6,9.6,8.1,-,6.1,3.6,9.3,16.2,-,11.8,153.6
1,19810,Darnell Mooney,WR,CHI,16,6.8,12.6,3.9,9.9,3.5,6.6,7,17.9,9.3,2.3,BYE,8.4,8.3,10.7,16.5,8.1,20.3,9.5,152.1
