#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
1,19202,CeeDee Lamb,WR,DAL,17,11.7,25.3,10.2,14.8,8.9,18.7,BYE,41,28.1,39.5,16.5,17.3,32.6,19.1,18.6,25.2,40.2,35.5,23.7,403.2
2,15802,Tyreek Hill,WR,MIA,16,44.5,15,30.7,10.2,32.1,28.3,25.8,25.2,12.5,-,30.6,25.4,32.3,10.1,-,18.9,13.6,21.2,23.5,376.4
3,19799,Amon-Ra St. Brown,WR,DET,16,19.1,14.2,19.6,16.6,-,30.4,23.2,16.8,BYE,30.5,21.7,18.5,12.9,5.1,24.2,28.6,22.1,27.4,20.7,330.9
4,23180,Puka Nacua,WR,LA,17,21.9,30.1,12.2,31.3,20.1,6.6,23.4,7.3,6.2,BYE,18.7,6.7,23.9,14,10.3,33,18.7,14.1,17.6,298.5
5,18218,A.J. Brown,WR,PHI,17,14.9,6.9,22.1,38.5,18.7,20.1,29.7,33,19.6,BYE,1.8,14.7,19.4,16.4,10.6,14,9.3,-0.1,17,289.6
6,17265,DJ Moore,WR,CHI,17,4.5,16.4,13.1,27.1,49,10.1,13.4,9.5,5.4,10.9,22.6,22.4,BYE,26.8,9.2,4.8,30.9,10.4,16.9,286.5
7,12119,Mike Evans,WR,TB,17,18.6,29.1,17,7,-,8.9,20.2,12.9,12.7,26.3,15.3,25,29.2,1.8,15.7,27.6,10,5.2,16.6,282.5
8,11616,Keenan Allen,WR,LAC,13,14.2,31.1,45.5,12.2,BYE,21.5,9.5,14.9,15.7,40.5,27.6,22.6,10.8,12.8,-,-,-,-,21.5,278.9
9,13981,Stefon Diggs,WR,BUF,17,26.2,13.6,19.1,36,24.1,20,17.8,16,22.6,6.4,6.7,19.4,-,6.4,8.8,7.9,7.1,15.7,16.1,273.8
10,12123,Davante Adams,WR,LV,17,12.6,20.4,42.2,15.5,8.5,4.9,12.7,2.1,7.4,14.6,21.2,12.3,-,12.3,24.1,1.4,37.6,15.6,15.6,265.4
11,19788,Ja'Marr Chase,WR,CIN,16,9.1,8.1,26.1,14.3,52.2,14,BYE,25.2,8.1,23.4,9.2,12.1,31.6,5.9,10.4,-,7.1,5.9,16.4,262.7
12,20130,Nico Collins,WR,HOU,15,14,27.6,5.4,35.8,6.9,12,BYE,7,14.4,-,13.5,23.4,34.1,2.3,-,13.8,15.7,34.5,17.4,260.4
