#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
156,00-0035184,Devine Ozigbo,RB,NO,2,-,-,-,-,-,-,1.4,-,0,-,-,-,-,-,-,-,-,-,0.7,1.4
157,00-0034808,John Kelly Jr.,RB,CLE,1,-,-,-,-,-,-,1.3,-,-,-,-,-,-,-,-,-,-,-,1.3,1.3
158,00-0035760,Jacques Patrick,RB,SF,1,-,-,-,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.2,1.2
159,00-0034449,Buddy Howell,RB,LA,5,-,-,-,0,-,-,0,1.1,0,-,-,0,-,-,-,-,-,-,0.2,1.1
159,00-0036698,Mekhi Sargent,RB,JAX,5,0.2,-,0.2,-,0,-,-,-,-,-,-,-,0.5,-,-,-,-,0.2,0.2,1.1
161,00-0035099,Khari Blasingame,RB,TEN,5,0,-,-,-,-,0,-,-,-,-,-,-1.4,-,-,-,0.9,-,1.5,0.2,1
162,00-0035448,Damarea Crockett,RB,DEN,1,-,-,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.7,0.7
163,00-0036860,Jake Funk,RB,LA,5,0,0,0.6,-,-,0,-,-,-,-,-,-,-,-,-,-0.1,-,-,0.1,0.5
164,00-0035835,Nathan Cottrell,RB,JAX,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.3,0,0,0.1,0.3
165,00-0036543,Spencer Brown,RB,FA,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
165,00-0033567,Brian Hill,RB,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0
165,9326,Josh Johnson,RB,BAL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
165,00-0030465,Kenjon Barner,RB,TB,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0
165,19664,Sewo Olonilua,RB,FA,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
