"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Aaron Rodgers","QB","FA","16","9.6","28.6","10.5","28.9","18.2","26","24.3","24.8","-","36.6","28.8","19.8","24.9","27.9","6.1","14.7","24.4","22.1","354.1"
"1","Andrew Luck","QB","FA","16","26.7","18.9","32.3","29.6","20.7","24.6","20.3","26.6","30.7","-","19.6","15","32.8","23.5","15.3","0.4","14.9","22","351.7"
"1","Russell Wilson","QB","FA","16","18.5","17.9","22","-","34.2","10.2","37.1","13.5","10.3","19.6","22.2","19.7","16.9","29.3","11.4","36.4","8.3","20.5","327.6"
"1","Peyton Manning","QB","FA","16","22.5","21.6","20","-","31","21.5","28.6","23.4","21.8","29.6","15.5","28.1","12.6","2.7","13","12.4","8.4","19.5","312.7"
"1","Ben Roethlisberger","QB","FA","16","17.4","6.7","15.9","22.4","12.7","11.8","16.9","44.8","35.7","13.7","10.5","-","26.2","27.9","14.2","12.4","17","19.1","306.2"
"1","Drew Brees","QB","FA","16","15.5","15.8","19.5","20.2","16.7","-","21","25","18.1","18.4","14.5","28.3","30.3","12","27.2","11.3","9.1","18.9","303"
"1","Matt Ryan","QB","FA","16","31.4","10","23.6","20.1","14.6","12.7","11.8","15.7","-","15.7","15.1","15.5","20.8","31.3","21.1","17.6","7","17.8","284.3"
"1","Ryan Tannehill","QB","FA","16","12.9","12.7","13.1","20.6","-","18.7","23.9","14.6","28.2","10.3","16.8","26.6","8.7","13.7","15.9","29.3","12.4","17.4","278.5"
"1","Tom Brady","QB","FA","16","10.3","10","12.7","4.4","21","30.7","22.4","34.2","27.7","-","14.1","20","17.7","19.4","19.3","10.3","4.1","17.4","278.1"
"1","Eli Manning","QB","FA","16","6.5","15.6","17.3","32.1","15.7","6.3","23","-","22.2","11.3","5.2","23.5","9.9","12.4","22","27.3","19.2","16.8","269.5"
"1","Tony Romo","QB","FA","15","9.2","11","16.1","24.5","19","15.9","21.7","12.5","-","21.8","-","24.8","3.9","20","20.5","27.5","18","17.8","266.3"
"1","Philip Rivers","QB","FA","16","12.5","25.1","19.1","27.1","21.8","25.8","14.2","19.8","-2.2","-","11.6","13.5","27.2","10.4","9.6","24.2","5.8","16.6","265.6"
"1","Joe Flacco","QB","CIN","16","16.5","14.9","11.3","25.4","7.4","32.2","14.7","5","18.3","10.6","-","13.9","23.3","24.4","13.6","10.3","20.6","16.4","262.4"
