"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"34","Tyjae Spears","RB","TEN","17","3.8","7.5","4.9","8.8","16.9","7.3","BYE","6.6","6.2","10","4.6","1.7","12.8","17.8","4.7","11.7","6.9","21.6","9","153.8"
"35","Rhamondre Stevenson","RB","NE","12","14.9","15","7.2","6","2.4","18","14.5","7","22.9","13.2","BYE","21.7","2.9","-","-","-","-","-","12.1","145.7"
"36","Tyler Allgeier","RB","ARI","17","24.4","4.8","4.9","2.2","6","5.1","14.2","3.1","11","4.8","-","6.4","2.6","4","6.1","15.8","15.8","6.4","8.1","137.6"
"37","Aaron Jones Sr.","RB","MIN","11","26.7","-","-","2.4","-","-","8.7","8.6","17.9","9.4","2.7","-","BYE","-","10.9","14.5","14","19.1","12.3","134.9"
"38","Alexander Mattison","RB","FA","16","13.4","4.9","17.5","10.8","12.6","11.2","6.2","4.3","17.3","4.3","7","8.3","-","6.6","-","-0.1","5","3.9","8.3","133.2"
"39","Antonio Gibson","RB","FA","16","0.9","8.3","3.4","3.6","10.4","8.6","5.1","9.2","12.6","16.5","-","6.7","11.2","-","8.5","10.2","5.6","6.6","8","127.4"
"40","Samaje Perine","RB","CIN","17","11.8","5.4","4.4","5.5","11.5","1.6","7.1","4.1","-","7.3","13.7","13.6","2.6","9.4","5.8","6.9","4.6","6","7.1","121.3"
"41","Kareem Hunt","RB","FA","15","-","-","5.5","1.2","-","16.1","15.1","13.7","9.8","9.2","6.7","2.2","5.8","10","3","9.6","9.1","1.5","7.9","118.5"
"42","A.J. Dillon","RB","CAR","15","5.6","7.3","3.3","1.1","13.6","-","11.5","10.2","5.3","9.1","10.1","11.1","9.7","9.8","-","7.2","2.7","-","7.8","117.6"
"43","Khalil Herbert","RB","FA","12","11.4","6.8","3.5","22.2","7.6","-","-","-","-","-","6.1","5.8","-","0.8","2.2","19.1","20.9","6.1","9.4","112.5"
"44","Justice Hill","RB","BAL","16","12.9","8.3","-","3.3","12.5","6.5","5.8","9.5","4","0.7","1.7","3.1","BYE","2.2","2.3","8.7","22.2","5.6","6.8","109.3"
"45","Zach Charbonnet","RB","SEA","16","1.1","5","5.5","5","BYE","3.9","-","8.4","2.3","10.2","12.9","9.8","16.9","5.8","1.6","0.6","9.1","8","6.6","106.1"
"46","Jaleel McLaughlin","RB","DEN","17","0.3","6.5","1.5","19.4","17.9","6.2","5.6","5.9","BYE","3.2","6.5","0.4","4.1","4.2","3.8","10.7","9.2","0.6","6.2","106"
"47","Roschon Johnson","RB","CHI","15","17.5","6.2","6.9","2.5","1.9","-","-","6.1","2.5","7.2","3","12.5","BYE","0.6","10","8.3","14.9","2","6.8","102.1"
