"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"35","Jelani Woods","TE","NYJ","14","0","0","15.3","4.3","0","10.7","1.4","-","1.2","BYE","-","17.8","4.8","-","4.6","7.3","4.9","1.9","5.3","74.2"
"36","Noah Gray","TE","KC","17","2","3.2","3.6","6.1","1.7","4.3","2","BYE","7.5","10","3.5","3.6","2.5","7.5","6.1","1.8","2.2","2.4","4.1","70"
"37","Colby Parkinson","TE","LAR","14","12.3","-","6.4","4.8","-","3.1","3.8","1.5","2.6","1.7","-","-","2.2","2","0","7.5","14.6","6.7","4.9","69.2"
"38","Brock Wright","TE","DET","16","0","3.5","0","0","-","BYE","9.7","1.6","0","7.2","4","2.6","4.5","0","12.1","2.1","16.3","0","4","63.6"
"39","Harrison Bryant","TE","FA","14","3.8","7.5","-","5.8","0","4.8","3.5","-","-","10.5","8.1","2.9","2.4","1.8","2.7","-","3.9","4","4.4","61.7"
"40","Trey McBride","TE","ARI","14","-","0","0","5.4","-","0","0","0","-","1.7","5.4","1.1","BYE","5.8","9.5","4.7","20.8","7.1","4.4","61.5"
"41","Kylen Granson","TE","TEN","13","5.2","3.4","2.7","10.2","2.6","7.8","1.6","4.1","0","9.7","2.6","-","5.9","-","5.4","-","-","-","4.7","61.2"
"42","C.J. Uzomah","TE","FA","14","-","-","1.5","0","3.2","3.7","1.5","3.7","4.6","-","0","4.7","4.1","1.7","18.1","4","5.4","-","4","56.2"
"43","Irv Smith Jr.","TE","FA","8","0","14.6","5.2","5.3","8.2","10.7","-","6.8","-","-","-","-","-","-","-","-","-","4.4","6.9","55.2"
"44","MyCole Pruitt","TE","FA","10","-","-","-","-","-","7.2","-","-","1.6","1.6","2.7","8.9","7.7","-","4","0","8.9","12.4","5.5","55"
"45","Mo Alie-Cox","TE","IND","14","4.6","1.9","1.9","26.5","1.7","-","-","0","3.3","-","2.4","3.4","-0.4","BYE","0","1.2","0","7.4","3.9","53.9"
"46","Tommy Tremble","TE","CAR","16","1.1","0","1.7","6.4","0","-","9.9","3.7","7.1","0","0","1.2","BYE","0","4","3.8","12.3","1.2","3.3","52.4"
"47","Jonnu Smith","TE","FA","13","6.3","0","6.5","0","-","8.1","1.4","4","5.1","-","8.5","-","2.6","0","4.4","5.1","-","-","4","52"
"48","Jake Ferguson","TE","DAL","13","0","0","3.3","1.7","-","14","1.7","7.1","BYE","-","3.5","8.7","1.9","-","-","3.4","1.7","1.4","3.7","48.4"
"49","Adam Trautman","TE","DEN","13","-","-","1.9","6.7","11.2","1.8","-","-","1.8","4.2","4.2","2.7","4.8","-","0","0","2.6","2.8","3.4","44.7"
"50","Shane Zylstra","TE","FA","11","0","0","0","-","-","-","-","-","7.1","0","-","-","1.4","3.8","1.4","25.6","1.7","0","3.7","41"
"51","Josh Oliver","TE","MIN","12","-","-","8.8","-","0","4.1","0","1.4","2.9","-","1.2","17.6","-","-","3.3","1.6","0","0","3.4","40.9"
"52","Ian Thomas","TE","FA","14","7.3","2.3","3.3","1.6","2.8","4.2","1.3","1.2","-","-","5.4","4.1","-","3.1","0","2.2","1.9","-","2.9","40.7"
"53","Durham Smythe","TE","BAL","13","2.4","1.5","5.3","0","7.9","-","-","-","0","0","-","7.4","4.1","-","0.8","1.8","1.9","6.9","3.1","40"
"54","Peyton Hendershot","TE","FA","12","-","-","7.3","0","0","4.2","8.5","3.5","-","0","0.8","6.2","0","-","9","-","0","-","3.3","39.5"
"55","Johnny Mundt","TE","PHI","13","4.7","4.8","4.3","0","2.6","2.1","BYE","7.1","1.1","-","1.8","4","2.2","-","1.7","2.6","-","-","3","39"
"56","Cameron Brate","TE","FA","9","1.7","1.9","10.2","7.2","-","3.4","-","-","-","1.8","-","3.5","-","3.2","4.5","-","-","-","4.2","37.4"
"57","Mitchell Wilcox","TE","FA","9","-","1.3","1.9","2.8","-","-","3.4","1.3","-","-","-","-","2.3","2","12.4","9.5","-","-","4.1","36.9"
"58","O.J. Howard","TE","FA","11","17.8","1.7","0","4.7","0","-","-","4.4","2.4","0","1.9","0","-","-","-","-","3.6","-","3.3","36.5"
"59","Connor Heyward","TE","LV","17","0","0","0","0","3.2","6.9","1.6","0","-","2.9","0","0","8.7","2.3","0","2.1","0","8.1","2.1","35.8"
"59","Eric Saubert","TE","SEA","14","0","9.2","0","3.5","8.6","-","0","0","-","2.2","3.6","-","0","1.2","1.5","0","6","-","2.6","35.8"
"61","Zach Gentry","TE","FA","14","6","-","-","1.2","9.3","1.4","2","1.3","-","0","2.8","0.6","1.8","0","1.4","1.1","-","3.3","2.3","32.2"
