#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
72,00-0029567,Nick Foles,QB,IND,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.7,3,-,2.9,5.8
73,00-0027948,Blaine Gabbert,QB,TB,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.2,5.2,5.2
74,00-0026625,Brian Hoyer,QB,NE,1,-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.5,1.5
75,00-0036226,Jacob Eason,QB,CAR,1,-,-,-,-,-,1.4,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4
76,00-0036928,Kyle Trask,QB,TB,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.9,0.9,0.9
77,15745,Brandon Allen,QB,CIN,1,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-,-,-,-,-,0.8,0.8
78,9326,Josh Johnson,QB,SF,1,-,-,-,-,-,-,-,-,-,BYE,-,-,-,0.7,-,-,-,-,0.7,0.7
79,00-0028986,Case Keenum,QB,BUF,2,-,0.2,-,-,0.1,-,-,-,-,-,-,-,-,BYE,-,-,-,-,0.2,0.3
80,20081,Feleipe Franks,QB,ATL,7,-,-,0,0,0,-,0,0,-,-,-,-,0,-,0,-,-,-,0,0
80,00-0030533,Matt Barkley,QB,FA,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0
80,17239,Logan Woodside,QB,FA,1,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0,0
80,,Matt Corral,QB,FA,2,0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,0,0
80,00-0033936,C.J. Beathard,QB,JAX,4,-,-,-0.1,-,-,-,-,-,-,-,-,-,0.2,-,-,-0.3,0.2,-,0,0
80,,Davis Cheek,QB,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0
86,00-0032792,Nate Sudfeld,QB,DET,2,-,-,-,-,-,-,-,-,-,-,-,-,-0.1,-,-,-,-0.3,-,-0.2,-0.4
87,00-0026197,Chad Henne,QB,KC,3,0,-,-,-,-,-,-0.3,-,-,-,-,-,-,-,-,-,-,-0.2,-0.2,-0.5
88,00-0034177,Tim Boyle,QB,CHI,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.9,-0.9,-0.9
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
