#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
187,25336,Charlie Jones,WR,CIN,8,-0.5,0,0,0,0,0,6,0,-,-,-,BYE,-,-,-,-,-,-,0.7,5.5
188,26023,Malachi Corley,WR,NYJ,7,0,1.4,-,-,-,-,-,0,-0.2,1.2,2,-,0.8,-,-,-,-,-,0.7,5.2
188,26162,Jamari Thrash,WR,CLE,9,-,-,-,-,-,-,0,-,0,BYE,2.1,0,3.1,-,0,0,0,0,0.6,5.2
190,00-0035341,Trenton Irwin,WR,CIN,7,1.6,1.5,-,-,-,0,-,1.4,0,0,0,-,-,-,-,-,-,-,0.6,4.5
191,23012,Ronnie Bell,WR,SF,8,0,0,2.2,-,0,-,2,0,-,0,-,0,-,-,-,-,-,-,0.5,4.2
192,23260,Austin Trammell,WR,JAX,1,-,-,-,-,-,-,-,-,4,-,-,BYE,-,-,-,-,-,-,4,4
193,19704,Mason Kinsey,WR,TEN,6,-,-,-,-,BYE,-,-,0,-,-,-,-,-,0,2.1,1.6,0,0,0.6,3.7
194,26404,Anthony Gould,WR,IND,8,0,0,0,-,-,-,-,-,-,-,-,-,0,BYE,3.3,0,0,0,0.4,3.3
195,19375,Isaiah Hodgins,WR,NYG,3,-,-,-,-,0,1.5,-,-,-,1.7,BYE,-,-,-,-,-,-,-,1.1,3.2
196,00-0038507,Grant DuBose,WR,MIA,3,0,2.3,-,-,-,-,-,-,-,-,-,-,-,-,0.8,-,-,-,1,3.1
196,19359,James Proche II,WR,CLE,9,-,0,0,1.3,0,-,-,-,-,-,-,-,-,3.8,-2,0,0,0,0.3,3.1
198,22684,Chris Blair,WR,ATL,3,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-,2.7,0,0,0.9,2.7
199,26379,Isaiah Williams,WR,DET,8,-,-,-,-,-,-,-,2.6,0,-,-,BYE,0,0,0,0,0,0,0.3,2.6
199,00-0034353,Anthony Miller,WR,BAL,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2.6,-,1.3,2.6
201,26413,Casey Washington,WR,ATL,2,-,-,-,-,-,-,2.4,-,-,-,0,BYE,-,-,-,-,-,-,1.2,2.4
202,00-0039853,Javon Baker,WR,NE,10,-,0,-,-,-,-,-,0,0,0,0,0,0,-,-,0,0,2.2,0.2,2.2
203,00-0033292,Trent Taylor,WR,SF,2,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,2.1,1.1,2.1
204,00-0037382,Brandon Johnson,WR,PIT,3,-,-,-,-,1.9,-,0,0,-,-,-,-,-,-,-,-,-,-,0.6,1.9
204,00-0037422,Kendric Pryor,WR,CIN,2,-,-,-,-,-,-,-,-,1.9,-,-,BYE,-,-,-,-,-,0,1,1.9
206,00-0039543,Ramel Keyton,WR,LV,8,-,-,-,-,-,-,-,-,1.7,-,0,0,-,0,0,0,0,0,0.2,1.7
207,00-0036877,Jaelon Darden,WR,CLE,11,0,-,-,-,-,1.6,0,0,0,-,-,-,0,0,0,0,0,0,0.1,1.6
207,00-0036254,Collin Johnson,WR,CHI,9,-,0,0,-,-,-,-,-,-,-,-,0,0,1.6,0,0,0,0,0.2,1.6
207,00-0033460,John Ross,WR,PHI,1,-,-,-,1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,1.6
210,15688,Robbie Chosen,WR,MIA,2,0,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.8,1.5
210,00-0038941,Tyler Scott,WR,CHI,11,-,0,0,0,0,0,-,-,0,-,0,-,-,-,1.5,0,0,0,0.1,1.5
212,26626,Kameron Johnson,WR,TB,5,0,-,-,0,0,0,-,-,-,-,BYE,-,-,-,-,-,1.1,-,0.2,1.1
213,24214,Velus Jones Jr.,WR,CAR,2,0.9,-,-,-,-,-,-,-,-,BYE,-,-,-,-,-,-,0,-,0.5,0.9
