season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2025,2,25,49,78,24,20000,104.784,20.609,30.700,72.395,79.100,90.600,103.900,118.000,131.610,140.005,194.800,0.5759
2025,3,25,44,76,29,20000,98.600,19.655,34.800,67.900,74.100,84.700,97.600,111.500,124.300,132.300,182.900,0.4522
2025,4,23,48,74,28,20000,109.512,20.200,46.900,78.100,84.400,95.200,108.400,122.800,136.300,144.800,194.000,0.6644
2025,5,20,36,65,26,20000,116.386,20.248,36.300,83.500,90.800,102.600,115.900,130.000,142.800,150.400,200.500,0.7920
2025,6,21,45,69,30,20000,101.825,20.362,45.100,71.200,76.600,87.000,100.400,114.900,129.300,137.500,189.000,0.5085
2025,7,17,41,71,30,20000,109.096,23.527,28.600,72.800,80.000,92.700,107.600,124.400,140.600,149.700,215.700,0.6292
2025,8,16,43,61,22,20000,108.969,20.156,39.300,77.200,83.600,94.900,108.400,122.100,135.300,143.200,193.100,0.6602
2025,9,20,40,64,28,20000,110.240,20.365,47.700,79.200,85.300,96.000,109.000,123.000,137.000,145.905,206.800,0.6759
2025,10,21,39,60,24,20000,110.024,21.271,43.000,78.200,84.300,95.200,108.300,123.200,138.500,148.205,208.100,0.6616
2025,11,22,48,66,21,20000,101.829,21.161,41.600,69.900,75.800,86.600,100.400,115.400,129.910,138.900,217.700,0.5081
2025,12,19,39,63,23,20000,102.802,22.458,34.800,69.100,75.800,87.200,101.000,116.300,132.400,143.600,212.200,0.5202
2025,13,23,50,70,26,20000,101.066,17.748,41.300,73.100,78.900,88.700,100.300,112.800,124.500,131.600,175.300,0.5081
2025,14,21,42,64,26,20000,102.133,20.198,34.900,70.800,77.100,88.000,101.100,115.200,128.400,137.200,189.500,0.5217
2025,15,21,48,73,26,20000,110.695,22.653,40.900,76.100,83.000,94.700,109.000,125.100,141.000,150.500,206.200,0.6607
2025,16,23,47,69,27,20000,108.717,22.700,35.200,73.000,80.100,93.000,107.900,123.400,138.400,148.205,204.400,0.6393
2025,17,17,44,73,27,20000,103.452,21.322,34.900,70.600,77.100,88.500,102.100,117.200,131.400,140.605,193.500,0.5404
2025,18,21,47,67,29,20000,90.633,18.970,27.500,60.995,67.190,77.300,89.700,103.100,115.500,123.200,173.900,0.3019
