"#","Player","Pos","Team","GP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Stevan Ridley","RB","FA","14","2.6","4","5.3","9.9","-","24","13.3","13.9","25.4","-","8.8","-0.6","-","4.7","3.4","5.4","7.4","9.1","127.5"
"1","Lamar Miller","RB","FA","16","2","15.5","7.4","13.8","1.5","-","5.7","14.2","14.9","3.1","5.7","8.7","9.5","5.3","7.1","0.8","8.7","7.7","123.9"
"1","Mike Tolbert","RB","FA","16","1.4","6.3","7.8","-","5","18.7","9.6","16.4","12.7","4.3","1.7","3.8","11.9","4.9","9.5","2.6","6.9","7.7","123.5"
"1","LeGarrette Blount","RB","FA","16","1.5","1.1","6.5","12.4","3.1","0.9","0.4","4.6","10.7","-","4.9","-0.7","10.4","8.4","6.3","19.6","30.9","7.6","121"
"1","BenJarvus Green-Ellis","RB","FA","16","9.9","9","6.9","1.3","12.7","8.6","2.4","3.3","7.2","3.6","6.2","-","14.5","16.8","0.4","10.4","6.6","7.5","119.8"
"1","Dexter McCluster","RB","FA","15","7.3","3.4","0.8","9.8","0","2.4","11.4","20.2","2.5","-","10.3","12.8","9.3","6.1","-","2.1","18.2","7.8","116.6"
"1","Chris Ogbonnaya","RB","FA","16","2","4.4","9.3","15.8","1.7","21.5","1.5","5.7","8.9","-","13.9","4.1","5.4","6.4","9.6","2.2","1.9","7.1","114.3"
"1","Marcel Reece","RB","FA","16","1.9","7.5","14.5","0.8","8.7","1.9","-","1","4.2","6","4.3","15.8","2.5","24.1","9.9","6.6","2.1","7","111.8"
"1","Bobby Rainey","RB","FA","15","0","0","3.1","4.9","1.3","0","-","-","0","12.6","36.7","3.5","9.1","21.3","4","9.1","4.6","7.3","110.2"
"1","Arian Foster","RB","FA","8","15","17.5","6.2","29.1","15.8","23.8","1.1","-","0","-","-","-","-","-","-","-","-","13.6","108.5"
"1","Montee Ball","RB","FA","16","2.4","4.1","4.1","2.4","0.1","1.5","0","9.8","-","2","19.1","6.7","13.1","17.7","9.8","3.2","12.4","6.8","108.4"
"1","Roy Helu","RB","FA","16","2.6","1.2","6.5","16.4","-","11.7","23.6","3.5","3.9","6.1","8","4.3","8","1.7","1.9","2.3","5.8","6.7","107.5"
"1","Chris Ivory","RB","FA","15","1.5","5.2","0.5","-","2.7","1.6","11.2","1.1","19.9","-","15.8","3.5","8.3","13.6","6.6","10.9","1.9","7","104.3"
