#,PLAYER_ID,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
114,25731,Brady Russell,TE,SEA,10,-,-,0,-,BYE,-,0,0,-,0,0,-,0,0,0,0,-,0,0,0
114,,Hunter Kampmoyer,TE,FA,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0
114,24216,Tanner Conner,TE,NYG,3,-,-,-,-,-,0,0,-,-,-,-,-,0,-,-,-,-,-,0,0
114,00-0034420,Jordan Thomas,TE,FA,1,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0
114,00-0036005,Noah Togiai,TE,FA,1,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,0
114,00-0035222,Zach Gentry,TE,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0
114,,Matt Bushman,TE,FA,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
114,,Zack Kuntz,TE,MIA,2,-,-,-,-,-,-,-,0,-,BYE,-,-,-,-,-,-,-,0,0,0
114,00-0035572,Parker Hesse,TE,FA,3,0,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,0,0
114,18921,Matt Sokol,TE,FA,4,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0,0,0,0
114,25469,Brayden Willis,TE,SF,7,-,-,0,0,-,-,-,-,BYE,-,-,-,-,0,0,0,0,0,0,0
114,00-0037451,Rodney Williams,TE,FA,13,-,-,-,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,25657,Blake Whiteheart,TE,FA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0
114,00-0035356,Tyree Jackson,TE,FA,2,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,0,0
114,00-0032986,J.P. Holtz,TE,FA,1,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
114,,Josh Pederson,TE,FA,2,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,0,0
114,00-0037011,Tre' McKitty,TE,FA,3,-,-,0,-,-,0,-,0,-,-,-,-,-,-,-,-,-,-,0,0
114,00-0032725,Stephen Anderson,TE,FA,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,0,0
114,19726,Sean McKeon,TE,DAL,9,-,-,-,0,0,0,-,0,0,0,0,0,0,-,-,-,-,-,0,0
114,00-0032214,Tyler Kroft,TE,FA,4,-,-,-,-,-,-,-,0,-,-,0,0,-,-,0,-,-,-,0,0
114,18246,Albert Okwuegbunam Jr.,TE,PHI,4,-,-,-,-,-,-,-,-,0,-,0,0,0,-,-,-,-,-,0,0
114,00-0036225,Dalton Keene,TE,FA,2,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,0,0
114,,Leroy Watson IV,TE,FA,4,-,-,-,-,-,-,-,-,-,0,-,-,-,0,0,-,-,0,0,0
114,22783,Hunter Long,TE,JAC,3,-,-,-,-,-,-,-,-,BYE,-,-,0,0,0,-,-,-,-,0,0
114,16787,Anthony Firkser,TE,DET,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
