Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,708,MIN,76,1704,975,313,89,126,12,205,1,0,66,3,2444.0,32.16
Dwyane Wade,2548,MIA,51,1397,239,384,107,62,21,216,3,0,15,0,1472.0,28.86
Kobe Bryant,977,LAL,77,2430,439,413,111,36,137,255,18,10,10,0,2212.5,28.73
LeBron James,2544,CLE,78,2132,526,470,125,55,99,250,1,0,16,1,2240.5,28.72
Marcus Camby,948,DEN,70,785,816,223,87,231,0,122,0,0,32,0,1977.5,28.25
Tim Duncan,1495,SAS,80,1599,846,273,66,190,1,224,0,0,45,0,2252.0,28.15
Gilbert Arenas,2240,WAS,74,2105,338,443,139,13,205,236,9,3,10,0,2026.0,27.38
Elton Brand,1882,LAC,80,1642,744,235,77,179,1,202,0,0,38,0,2148.5,26.86
Pau Gasol,2200,MEM,59,1226,581,201,29,126,3,162,0,0,33,1,1579.5,26.77
Shawn Marion,1890,PHX,80,1403,785,134,156,122,80,114,0,0,37,0,2139.5,26.74
Jason Kidd,467,NJN,80,1041,655,736,127,23,124,213,0,0,32,12,2116.5,26.46
Chris Bosh,2547,TOR,69,1561,741,175,39,90,12,179,1,0,42,0,1824.5,26.44
Dirk Nowitzki,1717,DAL,78,1916,693,263,52,62,72,167,1,0,41,0,2053.0,26.32
Josh Smith,2746,ATL,72,1178,621,236,101,207,38,227,0,0,32,0,1886.0,26.19
Jermaine O'Neal,979,IND,69,1339,661,167,50,182,0,203,0,0,34,0,1792.5,25.98
Tracy McGrady,1503,HOU,71,1747,378,458,92,36,126,213,3,0,15,0,1833.5,25.82
Carlos Boozer,2430,UTA,74,1549,867,221,70,21,0,194,1,0,53,0,1904.5,25.74
Baron Davis,1884,GSW,63,1264,276,509,135,29,85,193,0,0,20,1,1616.5,25.66
Yao Ming,2397,HOU,48,1202,452,94,17,94,0,167,0,0,20,0,1222.0,25.46
Emeka Okafor,2731,CHA,67,963,757,80,57,172,0,111,0,0,39,0,1704.5,25.44
Dwight Howard,2730,ORL,82,1443,1008,158,70,156,1,317,0,0,60,0,2083.0,25.4
Vince Carter,1713,NJN,82,2070,492,393,82,30,156,217,6,0,13,2,2028.0,24.73
Carmelo Anthony,2546,DEN,65,1881,391,249,77,23,40,234,1,0,4,1,1573.5,24.21
