Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Tim Duncan,1495,SAS,82,2089,1042,307,61,203,1,263,1,1,67,0,2728.0,33.27
Kevin Garnett,708,MIN,81,1714,981,422,96,126,37,229,0,0,59,0,2552.5,31.51
Chris Webber,185,SAC,54,1322,546,258,90,76,5,158,0,0,31,0,1672.5,30.97
Shaquille O'Neal,406,LAL,67,1822,715,200,41,137,0,171,7,0,40,0,2058.0,30.72
Tracy McGrady,1503,ORL,76,1948,597,400,119,73,103,189,6,1,24,1,2250.5,29.61
Allen Iverson,947,PHI,60,1883,269,331,168,13,78,237,9,1,4,1,1721.5,28.69
Ben Wallace,1112,DET,80,609,1039,115,138,278,0,70,0,0,25,1,2247.5,28.09
Dirk Nowitzki,1717,DAL,76,1779,755,186,83,77,139,145,1,0,38,0,2114.0,27.82
Elton Brand,1882,LAC,80,1453,925,191,80,163,0,173,0,0,55,0,2210.5,27.63
Paul Pierce,1718,BOS,82,2144,566,261,154,86,210,241,1,0,17,0,2261.0,27.57
Antoine Walker,952,BOS,81,1794,714,407,122,38,222,251,1,0,29,2,2232.0,27.56
Jason Kidd,467,NJN,82,1208,595,808,175,20,117,286,0,0,44,8,2229.5,27.19
Gary Payton,56,SEA,82,1815,396,737,131,26,74,209,1,0,32,2,2219.5,27.07
Karl Malone,252,UTA,80,1788,686,341,152,59,9,263,0,0,28,0,2112.5,26.41
Shawn Marion,1890,PHX,81,1547,803,162,149,86,48,144,0,0,43,0,2131.5,26.31
Jermaine O'Neal,979,IND,72,1371,757,118,45,166,1,174,0,0,39,0,1848.0,25.67
Baron Davis,1884,CHH,82,1484,349,698,172,47,170,246,0,0,29,1,2097.0,25.57
Andre Miller,1889,CLE,81,1335,379,882,126,34,22,245,0,0,43,3,2063.5,25.48
Kobe Bryant,977,LAL,80,2019,441,438,118,35,33,223,1,1,11,1,2003.0,25.04
Shareef Abdur-Rahim,949,ATL,77,1636,696,239,98,81,21,250,1,1,32,0,1905.5,24.75
Vince Carter,1713,TOR,60,1484,313,239,94,43,121,154,4,0,5,0,1483.5,24.73
Steve Francis,1883,HOU,57,1234,401,362,71,25,68,221,0,0,14,2,1403.0,24.61
Rasheed Wallace,739,POR,79,1521,645,152,101,101,114,131,0,0,25,0,1912.5,24.21
Michael Jordan,893,WAS,60,1375,339,310,85,26,10,162,5,1,8,0,1415.5,23.59
Pau Gasol,2200,MEM,82,1441,730,223,41,169,1,224,0,0,35,0,1905.0,23.23
Marcus Camby,948,NYK,29,322,322,33,34,50,0,42,0,0,10,0,652.0,22.48
Raef LaFrentz,1711,DAL,78,1051,579,89,55,213,104,94,0,0,18,0,1705.5,21.87
Ray Allen,951,MIL,69,1503,312,271,88,18,229,159,1,0,3,0,1506.0,21.83
Sam Cassell,208,MIL,74,1461,312,493,90,12,71,177,0,0,11,0,1609.0,21.74
Jason Terry,1891,ATL,78,1504,270,444,144,13,172,181,2,0,8,0,1695.0,21.73
Dikembe Mutombo,87,PHI,80,920,863,83,29,190,0,156,0,0,33,1,1723.0,21.54
Brent Barry,699,SEA,81,1164,441,426,147,37,164,165,0,0,8,0,1742.0,21.51
Jamal Mashburn,469,CHH,40,858,242,171,45,6,41,110,0,0,4,0,858.5,21.46
Grant Hill,255,ORL,14,235,125,64,8,4,0,37,0,0,5,0,298.5,21.32
