Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Gordon Hayward,202330,UTA,77,1248,391,400,110,40,85,212,0,0,9,0,1554.5,20.19
Monta Ellis,101145,DAL,82,1560,295,471,141,23,69,264,0,0,6,0,1650.5,20.13
Chandler Parsons,202718,HOU,74,1226,409,298,88,29,130,144,0,0,7,0,1482.0,20.03
Dwyane Wade,2548,MIA,54,1028,241,252,79,29,9,161,0,0,4,0,1070.5,19.82
Mike Conley,201144,MEM,73,1256,213,441,110,13,105,150,0,0,5,0,1435.5,19.66
Brandon Jennings,201943,DET,80,1241,244,609,101,8,154,215,0,0,18,0,1571.5,19.64
Ryan Anderson,201583,NOP,22,436,142,17,10,7,67,20,0,0,4,0,428.5,19.48
Trevor Ariza,2772,WAS,77,1107,475,191,126,20,180,132,1,0,11,0,1481.5,19.24
Nikola Pekovic,201593,MIN,54,944,468,50,30,23,0,84,0,0,23,0,1035.0,19.17
Andrew Bogut,101106,GSW,67,492,671,112,47,121,0,97,0,0,13,0,1281.0,19.12
Kawhi Leonard,202695,SAS,66,844,412,133,114,50,69,80,0,0,7,0,1256.5,19.04
Chris Bosh,2547,MIA,79,1281,522,87,80,78,74,125,0,0,6,0,1483.5,18.78
Kenneth Faried,202702,DEN,80,1096,684,96,70,69,0,135,0,0,27,0,1498.0,18.73
Anderson Varejao,2760,CLE,65,546,629,140,69,39,0,72,0,0,16,0,1202.0,18.49
Lance Stephenson,202362,IND,78,1080,558,359,54,7,86,210,0,0,20,5,1442.0,18.49
David West,2561,IND,80,1118,542,223,61,74,4,133,0,0,8,0,1471.0,18.39
Robin Lopez,201577,POR,82,908,700,73,25,139,0,84,0,0,29,0,1500.0,18.29
Jimmy Butler III,202710,CHI,67,878,330,175,127,36,68,102,0,0,5,0,1207.0,18.01
Brandon Knight,202688,MIL,72,1291,255,352,69,17,110,188,0,0,4,0,1295.5,17.99
Jeff Teague,201952,ATL,79,1304,208,528,89,17,74,232,0,0,13,0,1418.0,17.95
Tyreke Evans,201936,NOP,72,1042,341,363,84,21,21,175,1,0,10,1,1283.5,17.83
Deron Williams,101114,BKN,64,915,168,392,93,13,98,143,0,0,5,0,1140.5,17.82
JJ Hickson,201581,DEN,69,814,632,96,47,51,0,128,0,0,26,0,1229.0,17.81
Jared Sullinger,203096,BOS,74,982,601,118,35,49,56,119,0,0,22,0,1309.0,17.69
Luol Deng,2736,CLE,63,1011,361,183,62,9,57,114,0,0,8,0,1114.0,17.68
Terrence Jones,203093,HOU,76,921,528,87,53,99,31,71,0,0,18,0,1342.0,17.66
Tyson Chandler,2199,NYK,55,480,529,59,36,63,0,71,0,0,16,0,971.0,17.65
Nene,2403,WAS,53,754,294,153,64,47,1,117,0,0,2,0,931.5,17.58
John Henson,203089,MIL,70,779,497,113,41,116,0,114,0,0,11,0,1210.5,17.29
Bradley Beal,203078,WAS,73,1249,273,243,71,18,138,128,0,0,1,0,1260.5,17.27
Carlos Boozer,2430,CHI,76,1042,632,118,53,22,0,154,0,0,25,0,1292.0,17.0
Klay Thompson,202691,GSW,81,1488,249,181,74,37,223,135,0,0,1,0,1373.5,16.96
Tristan Thompson,202684,CLE,82,961,754,72,42,35,0,108,0,0,36,0,1388.5,16.93
Tobias Harris,202699,ORL,61,893,424,82,41,24,32,78,0,0,7,0,1027.5,16.84
Jameer Nelson,2749,ORL,68,820,231,476,52,5,136,166,0,0,6,0,1139.0,16.75
Roy Hibbert,201579,IND,81,871,538,91,29,182,2,148,0,0,15,0,1354.5,16.72
Victor Oladipo,203506,ORL,80,1106,329,327,129,37,74,256,0,0,7,1,1331.0,16.64
Taj Gibson,201959,CHI,82,1069,558,91,41,112,0,150,0,0,15,0,1354.5,16.52
JR Smith,2747,NYK,74,1071,296,219,65,20,189,108,0,0,1,0,1208.0,16.32
Wesley Matthews,202083,POR,82,1343,289,197,76,14,201,110,0,0,1,0,1329.0,16.21
Jonas Valančiūnas,202685,TOR,81,916,714,57,24,71,0,136,0,0,25,0,1308.0,16.15
Markieff Morris,202693,PHX,81,1115,485,144,68,51,34,147,0,0,11,0,1305.5,16.12
Jeff Green,201145,BOS,82,1382,380,138,57,47,135,165,0,0,2,0,1321.5,16.12
Jamal Crawford,2037,LAC,69,1282,158,223,59,12,161,135,0,0,2,0,1111.5,16.11
DeMarre Carroll,201960,ATL,73,810,403,134,108,21,97,79,0,0,3,0,1172.5,16.06
Arron Afflalo,201167,ORL,73,1330,262,248,35,3,128,146,1,0,1,0,1171.0,16.04
Andre Iguodala,2738,GSW,63,588,293,263,95,18,62,100,0,0,2,0,1009.0,16.02
Shawn Marion,1890,DAL,76,791,497,124,90,37,58,95,0,0,9,0,1213.5,15.97
Larry Sanders,202336,MIL,23,178,165,19,18,40,0,26,0,0,2,0,365.0,15.87
Kendall Marshall,203088,LAL,54,430,155,477,48,4,71,150,0,0,15,0,851.5,15.77
Kevin Martin,2755,MIN,68,1298,203,121,66,6,115,106,0,0,1,0,1069.5,15.73
Amir Johnson,101161,TOR,77,799,505,115,56,88,20,123,0,0,13,0,1207.5,15.68
Tony Parker,2225,SAS,68,1134,155,388,36,9,25,151,0,0,2,0,1063.5,15.64
Wilson Chandler,201163,DEN,62,846,294,114,46,31,122,79,0,0,2,0,969.0,15.63
Paul Pierce,1718,BKN,75,1010,348,178,86,31,112,153,0,0,1,0,1169.0,15.59
Josh McRoberts,201177,CHA,78,661,373,333,58,46,105,83,0,0,2,0,1216.0,15.59
P.J. Tucker,200782,PHX,81,760,529,141,110,23,74,102,0,0,11,0,1262.0,15.58
Trey Burke,203504,UTA,70,895,208,396,42,6,111,131,0,0,8,0,1080.0,15.43
Kyle Korver,2594,ATL,71,850,282,208,70,24,185,102,0,0,0,0,1093.5,15.4
Reggie Jackson,202704,OKC,80,1047,313,331,85,9,83,168,0,0,2,0,1231.0,15.39
Raymond Felton,101109,NYK,65,630,197,365,78,27,62,129,0,0,2,0,991.0,15.25
Andrea Bargnani,200745,NYK,42,558,222,45,14,52,30,58,0,0,4,0,639.0,15.21
Evan Turner,202323,IND,81,1131,408,262,67,7,50,189,0,0,9,0,1228.5,15.17
Randy Foye,200751,DEN,81,1068,232,287,67,39,189,145,0,0,4,0,1218.5,15.04
Joe Johnson,2207,BKN,79,1245,270,216,47,10,162,120,0,0,0,0,1183.5,14.98
Gerald Green,101123,PHX,82,1295,275,122,70,42,204,145,1,0,0,0,1226.5,14.96
Eric Gordon,201569,NOP,64,988,165,208,74,12,101,134,0,0,0,0,955.5,14.93
Enes Freedom,202683,UTA,80,987,598,75,28,42,0,144,0,0,24,0,1186.5,14.83
Kobe Bryant,977,LAL,6,83,26,38,7,1,3,34,0,0,0,0,89.0,14.83
Mario Chalmers,201596,MIA,73,716,214,357,119,16,87,162,0,0,1,0,1081.5,14.82
Jodie Meeks,201975,LAL,77,1209,194,138,111,4,162,111,1,0,0,0,1137.5,14.77
Jordan Hill,201941,LAL,72,696,535,54,29,64,0,75,0,0,15,0,1063.0,14.76
Channing Frye,101112,PHX,82,910,416,98,60,63,160,89,0,0,0,0,1206.0,14.71
Miles Plumlee,203101,PHX,80,646,626,43,50,90,0,111,0,0,11,0,1172.0,14.65
Jose Calderon,101181,DAL,81,925,192,377,69,11,191,103,0,0,1,0,1185.0,14.63
Manu Ginobili,1938,SAS,68,838,202,293,70,17,90,139,0,0,1,0,995.0,14.63
Gerald Henderson,201945,CHA,77,1081,310,199,51,32,40,113,0,0,0,0,1122.5,14.58
Patrick Beverley,201976,HOU,56,573,196,151,77,23,92,66,0,0,0,0,813.5,14.53
Dion Waiters,203079,CLE,70,1113,195,209,63,17,92,154,0,0,1,0,1013.5,14.48
Ersan Ilyasova,101141,MIL,55,618,342,72,46,8,37,61,0,0,8,0,796.5,14.48
Nick Young,201156,LAL,64,1144,166,95,46,12,135,95,2,0,0,0,923.5,14.43
George Hill,201588,IND,76,781,283,265,75,23,95,92,0,0,0,0,1090.0,14.34
Andray Blatche,101154,BKN,73,821,390,112,75,38,15,110,0,0,6,0,1042.0,14.27
Mike Dunleavy,2399,CHI,82,929,345,186,64,46,123,108,0,0,0,0,1169.0,14.26
Wesley Johnson,202325,LAL,79,715,348,124,86,77,100,90,0,0,4,0,1119.5,14.17
Avery Bradley,202340,BOS,60,891,226,85,63,11,79,96,0,0,1,0,849.0,14.15
Derrick Rose,201565,CHI,10,159,32,43,5,1,16,34,0,0,0,0,140.5,14.05
Vince Carter,1713,DAL,81,967,284,212,61,35,146,108,0,0,1,0,1137.5,14.04
Corey Brewer,201147,MIN,81,998,207,135,151,30,59,105,1,1,0,0,1129.5,13.94
Jeremy Lin,202391,HOU,71,890,187,294,68,27,82,176,0,0,3,1,986.0,13.89
Brandon Bass,101138,BOS,82,911,470,87,36,71,2,102,0,0,5,0,1130.5,13.79
Matt Barnes,2440,LAC,63,625,292,125,56,28,97,85,0,0,2,0,863.0,13.7
Timofey Mozgov,202389,DEN,82,770,528,62,27,100,4,122,0,0,10,0,1119.0,13.65
Khris Middleton,203114,MIL,82,990,310,169,83,20,120,123,0,0,0,0,1117.0,13.62
D.J. Augustin,201571,CHI,71,930,130,313,53,3,133,125,0,0,2,0,963.5,13.57
JJ Redick,200755,LAC,35,532,74,78,28,3,73,42,0,0,0,0,474.5,13.56
Alec Burks,202692,UTA,78,1089,257,212,69,14,50,149,0,0,0,0,1055.5,13.53
Draymond Green,203110,GSW,82,511,409,152,102,72,55,91,0,0,4,0,1105.0,13.48
Chris Kaman,2549,LAL,39,404,229,58,11,40,0,74,0,0,6,0,523.0,13.41
Jason Smith,201160,NOP,31,301,181,29,11,29,0,28,0,0,2,0,414.5,13.37
Marvin Williams,101107,UTA,66,603,334,78,54,31,84,53,0,0,3,0,875.5,13.27
Zaza Pachulia,2585,MIL,53,408,333,136,45,14,0,92,0,0,4,0,703.0,13.26
Kevin Garnett,708,BKN,54,352,358,82,43,40,0,69,0,0,3,0,716.0,13.26
Darren Collison,201954,LAC,80,911,188,297,93,15,71,132,0,0,1,0,1061.0,13.26
Al-Farouq Aminu,202329,NOP,80,572,496,114,82,38,13,88,0,0,5,0,1059.5,13.24
Jordan Farmar,200770,LAL,41,416,104,199,38,8,70,95,0,0,0,0,543.0,13.24
Steve Blake,2581,GSW,55,378,159,307,54,8,79,102,0,0,3,1,721.5,13.12
Danny Green,201980,SAS,68,618,229,104,65,61,132,76,0,0,1,0,885.0,13.01
Patrick Patterson,202335,TOR,65,555,342,78,55,37,55,65,0,0,1,0,845.0,13.0
Kirk Hinrich,2550,CHI,73,666,192,286,80,26,85,120,0,0,1,0,946.5,12.97
Kris Humphries,2743,BOS,69,579,409,67,31,61,0,64,0,0,8,0,893.5,12.95
Caron Butler,2406,OKC,56,587,229,82,47,17,98,60,0,0,2,0,723.5,12.92
Samuel Dalembert,2223,DAL,80,529,541,38,41,94,0,90,0,0,5,0,1028.5,12.86
Tony Wroten,203100,PHI,72,939,228,217,78,16,40,204,0,0,1,1,921.5,12.8
Tiago Splitter,201168,SAS,59,483,363,90,29,31,0,75,0,0,5,0,744.5,12.62
James Anderson,202341,PHI,80,810,300,149,74,28,115,106,0,0,0,0,1009.5,12.62
Ramon Sessions,201196,MIL,83,1021,203,340,49,9,35,148,0,0,3,0,1042.0,12.55
Glen Davis,201175,LAC,68,641,351,77,58,29,4,76,0,0,5,0,853.5,12.55
Shaun Livingston,2733,BKN,76,629,246,245,93,31,1,105,0,0,1,0,950.0,12.5
Andrew Bynum,101115,IND,26,225,145,29,6,29,0,34,0,0,2,0,324.5,12.48
Tony Allen,2754,MEM,55,495,208,94,90,19,11,90,0,0,1,0,684.0,12.44
Omer Asik,201600,HOU,48,280,378,25,14,37,0,59,0,0,6,0,592.0,12.33
Jarrett Jack,101127,CLE,80,760,223,324,56,22,63,133,0,0,1,0,982.5,12.28
Boris Diaw,2564,SAS,79,717,326,222,44,32,45,121,0,0,2,0,962.0,12.18
Kyle O'Quinn,203124,ORL,69,429,364,78,39,88,0,78,0,0,2,0,834.5,12.09
Amar'e Stoudemire,2405,NYK,65,772,320,34,23,37,0,91,0,0,5,0,774.0,11.91
Marco Belinelli,201158,SAS,80,911,226,179,50,7,126,95,0,0,1,0,943.5,11.79
James Johnson,201949,MEM,52,384,166,111,42,57,22,66,0,0,1,0,613.0,11.79
Ronny Turiaf,101142,MIN,31,149,174,24,8,50,0,24,0,0,0,0,364.5,11.76
Harrison Barnes,203084,GSW,78,738,311,116,65,20,66,84,0,0,1,0,916.0,11.74
Jason Thompson,201574,SAC,82,586,527,53,32,56,0,95,0,0,8,0,962.0,11.73
Chris Andersen,2365,MIA,72,477,379,19,32,97,3,53,0,0,1,0,844.0,11.72
Brandan Wright,201148,DAL,58,525,244,31,32,55,0,35,0,0,2,0,678.5,11.7
Kelly Olynyk,203482,BOS,70,607,365,109,35,27,40,106,0,0,3,0,818.5,11.69
Terrence Ross,203082,TOR,81,879,252,79,64,27,161,88,1,1,0,0,947.0,11.69
Giannis Antetokounmpo,203507,MIL,77,525,339,150,60,61,41,122,0,0,2,0,894.0,11.61
Mo Williams,2590,POR,74,721,153,321,55,10,83,149,0,0,2,0,859.0,11.61
Ryan Kelly,203527,LAL,59,472,219,95,32,45,48,47,0,0,2,0,683.0,11.58
Elton Brand,1882,ATL,73,419,361,74,40,88,0,60,0,0,3,0,843.5,11.55
Rodney Stuckey,201155,DET,73,1012,169,152,54,10,24,125,0,0,0,0,842.0,11.53
Lou Williams,101150,ATL,60,625,124,210,45,4,79,92,0,0,0,0,692.0,11.53
Iman Shumpert,202697,NYK,74,495,308,129,92,13,76,79,0,0,0,0,853.5,11.53
Jeff Adrien,202399,MIL,53,362,306,38,24,36,0,39,0,0,4,0,610.0,11.51
Jordan Crawford,202348,GSW,81,890,183,281,47,5,90,134,1,0,3,1,930.0,11.48
Marcus Morris Sr.,202694,PHX,82,796,319,88,72,18,99,95,0,0,0,0,939.5,11.46
Kyle Singler,202713,DET,82,784,303,75,61,38,94,79,0,0,1,0,937.0,11.43
Michael Kidd-Gilchrist,203077,CHA,62,448,324,52,43,39,1,60,0,0,1,0,705.5,11.38
Henry Sims,203156,PHI,46,350,237,52,28,20,0,41,0,0,4,0,523.0,11.37
Jermaine O'Neal,979,GSW,44,349,242,25,14,40,0,52,0,0,2,0,499.5,11.35
Trevor Booker,202344,WAS,72,491,379,64,41,45,0,58,0,0,5,0,807.5,11.22
Greivis Vasquez,202349,TOR,79,758,173,323,31,5,109,128,0,0,1,0,874.5,11.07
Shawne Williams,200761,LAL,36,202,167,30,19,30,42,21,0,0,1,0,397.0,11.03
Drew Gooden,2400,WAS,22,183,114,15,10,7,7,17,0,0,1,0,242.0,11.0
Patty Mills,201988,SAS,81,826,169,149,68,9,135,63,0,0,0,0,889.5,10.98
Maurice Harkless,203090,ORL,80,592,264,80,97,50,59,86,0,0,1,0,878.5,10.98
O.J. Mayo,201564,MIL,52,608,124,113,28,13,84,95,0,0,0,0,570.0,10.96
Devin Harris,2734,DAL,40,315,85,178,28,2,31,59,0,0,1,0,438.0,10.95
Thabo Sefolosha,200757,OKC,61,383,220,94,79,17,48,55,0,0,0,0,666.5,10.93
Ray Allen,951,MIA,73,701,205,143,54,8,116,84,0,0,0,0,796.5,10.91
Mason Plumlee,203486,BKN,70,520,308,60,49,55,0,77,0,0,4,0,763.0,10.9
Nate Robinson,101126,DEN,44,457,81,112,36,4,58,58,0,0,0,0,472.5,10.74
Dante Cunningham,201967,MIN,81,510,330,83,62,58,0,42,0,0,2,0,868.0,10.72
Kosta Koufos,201585,MEM,80,514,418,39,32,71,0,67,0,0,4,0,857.0,10.71
Jerryd Bayless,201573,BOS,72,666,145,194,60,9,76,82,0,0,0,0,766.0,10.64
Richard Jefferson,2210,UTA,82,831,219,130,56,14,123,94,0,0,0,0,872.0,10.63
Martell Webster,101110,WAS,78,759,222,97,41,15,146,58,0,0,1,0,826.5,10.6
Steve Nash,959,LAL,15,102,29,86,7,2,8,31,0,0,1,0,158.0,10.53
Courtney Lee,201584,MEM,79,761,187,115,65,28,72,73,0,0,0,0,831.5,10.53
Aaron Brooks,201166,DEN,72,645,140,233,52,13,96,117,0,0,2,0,758.5,10.53
Jeremy Evans,202379,UTA,66,401,310,44,42,46,0,40,0,0,3,0,693.5,10.51
Mirza Teletovic,203141,BKN,72,622,266,57,29,23,136,54,0,0,2,0,754.0,10.47
Marcus Thornton,201977,BKN,72,703,198,77,58,11,109,67,1,0,0,0,753.0,10.46
Brian Roberts,203148,NOP,72,677,136,234,43,7,64,95,0,0,0,0,745.5,10.35
Kenyon Martin,2030,NYK,32,137,134,50,25,27,0,26,0,0,0,0,330.5,10.33
CJ Miles,101139,CLE,51,503,103,52,46,15,83,44,0,0,0,0,526.0,10.31
Nate Wolters,203489,MIL,58,417,149,187,35,15,18,57,0,0,0,0,596.5,10.28
Shelvin Mack,202714,ATL,73,544,160,271,50,2,62,89,0,0,1,0,750.0,10.27
Xavier Henry,202333,LAL,43,432,114,51,44,7,28,57,0,0,0,0,440.0,10.23
Gerald Wallace,2222,BOS,58,298,212,143,73,14,19,97,0,0,1,0,591.5,10.2
Jeremy Lamb,203087,OKC,78,665,189,115,56,26,88,61,0,0,0,0,783.5,10.04
Alexis Ajinca,201582,NOP,56,328,277,40,23,46,0,63,0,0,3,0,559.0,9.98
Will Bynum,101198,DET,56,485,99,216,39,7,20,103,0,0,1,0,557.5,9.96
Gorgui Dieng,203476,MIN,60,286,300,39,30,50,1,54,0,0,9,0,597.5,9.96
DeJuan Blair,201971,DAL,78,497,368,70,60,21,0,77,0,0,2,0,773.5,9.92
Derrick Williams,202682,SAC,78,624,323,56,48,20,26,76,0,0,5,0,769.0,9.86
Gustavo Ayon,202970,ATL,26,112,125,28,25,10,0,29,0,0,1,0,251.0,9.65
Pero Antic,203544,ATL,50,352,209,58,19,12,56,55,0,0,3,0,481.0,9.62
Mike Scott,203118,ATL,80,767,284,75,30,7,62,79,0,0,1,0,769.5,9.62
Manny Harris,202412,LAL,9,73,34,11,4,1,7,9,0,0,0,0,86.0,9.56
J.J. Barea,200826,MIN,79,660,154,303,26,0,73,125,0,0,1,0,751.5,9.51
Omri Casspi,201956,HOU,71,490,260,88,44,14,61,72,0,0,1,0,668.5,9.42
Jordan Hamilton,202706,HOU,60,404,194,52,44,20,70,46,0,0,0,0,565.0,9.42
Lavoy Allen,202730,IND,65,303,311,71,24,33,2,44,0,0,3,0,607.5,9.35
Cody Zeller,203469,CHA,82,490,353,92,40,41,0,87,0,0,1,0,766.0,9.34
Luis Scola,2449,IND,82,626,391,81,26,16,1,108,0,0,1,0,762.5,9.3
Ben McLemore,203463,SAC,82,720,235,82,45,18,95,96,0,0,0,0,754.5,9.2
Danny Granger,101122,LAC,41,338,133,41,12,17,43,46,0,0,0,0,376.5,9.18
Norris Cole,202708,MIA,82,527,160,248,77,5,60,127,0,0,0,0,738.5,9.01
Reggie Evans,2501,SAC,54,214,334,21,37,3,0,58,0,0,2,0,486.0,9.0
Pablo Prigioni,203143,NYK,66,252,129,228,67,2,65,60,0,0,0,0,593.5,8.99
Luke Babbitt,202337,NOP,27,170,88,29,7,11,36,15,0,0,0,0,241.0,8.93
JaVale McGee,201580,DEN,5,35,17,2,1,7,0,8,0,0,0,0,44.5,8.9
Robert Sacre,203135,LAL,65,350,254,51,24,47,0,44,0,0,0,0,578.0,8.89
Tim Hardaway Jr.,203501,NYK,81,824,121,66,44,7,130,47,0,0,0,0,719.0,8.88
Andrei Kirilenko,1905,BKN,45,226,146,72,40,19,1,54,0,0,1,0,396.5,8.81
Darrell Arthur,201589,DEN,68,401,210,61,39,47,24,58,0,0,0,0,597.5,8.79
Tayshaun Prince,2419,MEM,76,454,234,119,39,19,20,41,0,0,0,0,665.0,8.75
Austin Rivers,203085,NOP,69,530,129,160,45,9,36,77,0,0,1,0,604.0,8.75
Greg Stiemsma,201880,NOP,55,159,226,36,35,57,0,44,0,0,0,0,481.5,8.75
Ed Davis,202334,MEM,63,357,260,27,17,43,0,40,0,0,4,0,549.5,8.72
Gary Neal,202390,CHA,52,548,90,83,18,0,68,64,0,0,0,0,453.0,8.71
Evan Fournier,203095,DEN,76,638,202,112,34,7,89,100,0,0,0,0,659.5,8.68
Michael Beasley,201563,MIA,55,436,172,42,23,21,21,57,0,0,0,0,473.5,8.61
Andre Miller,1889,WAS,58,283,130,197,34,9,11,61,0,0,0,0,499.0,8.6
Chris Douglas-Roberts,201604,CHA,49,339,119,51,29,16,51,36,0,0,0,0,419.0,8.55
Chris Wright,202874,MIL,8,48,20,5,7,5,0,5,0,0,0,0,68.0,8.5
Francisco Garcia,101128,HOU,55,315,122,63,27,33,69,30,0,0,0,0,467.0,8.49
Hollis Thompson,203138,PHI,77,461,247,73,53,12,67,60,0,0,0,0,654.0,8.49
Jan Vesely,202686,DEN,54,197,191,21,53,35,0,36,0,0,0,0,450.5,8.34
Ray McCallum,203492,SAC,45,280,79,120,22,9,22,39,0,0,1,0,374.0,8.31
C.J. Watson,201228,IND,63,414,101,107,60,8,53,60,0,0,0,0,517.5,8.21
Bismack Biyombo,202687,CHA,77,222,366,8,7,86,0,40,0,0,1,0,632.0,8.21
Jared Dudley,201162,LAC,74,511,160,104,41,10,81,56,0,0,0,0,606.0,8.19
Tyler Zeller,203092,CLE,70,399,282,36,18,38,0,60,0,0,3,0,572.5,8.18
Alan Anderson,101187,BKN,78,564,175,81,48,11,84,62,0,0,0,0,636.0,8.15
Kendrick Perkins,2570,OKC,62,211,305,67,26,32,0,90,0,0,0,0,503.5,8.12
Mike Miller,2034,MEM,82,579,207,130,26,5,107,77,0,0,0,0,665.0,8.11
Nick Calathes,201979,MEM,71,347,137,207,66,8,19,101,0,0,0,0,574.0,8.08
Jarvis Varnado,202363,PHI,24,99,63,13,10,29,0,10,0,0,0,0,193.5,8.06
Anthony Morrow,201627,NOP,76,636,140,59,38,12,88,51,0,0,0,0,610.0,8.03
Josh Powell,2694,HOU,1,4,5,0,0,1,0,1,0,0,0,0,8.0,8.0
John Salmons,2422,TOR,78,403,163,147,47,19,63,54,0,0,0,0,621.0,7.96
Tyler Hansbrough,201946,TOR,64,312,287,17,28,19,0,47,0,0,1,0,508.0,7.94
Jeffery Taylor,203106,CHA,26,208,60,22,13,5,18,25,0,0,0,0,206.0,7.92
Ekpe Udoh,202327,MIL,42,144,148,31,15,44,0,38,0,0,1,0,332.0,7.9
Chris Johnson,203187,BOS,40,250,97,31,27,4,43,22,0,0,0,0,314.5,7.86
