Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Love,201567,MIN,77,2010,963,341,59,35,190,196,6,0,65,3,2473.0,32.12
Kevin Durant,201142,OKC,81,2593,598,445,103,59,192,285,14,2,27,3,2523.5,31.15
Anthony Davis,203076,NOP,67,1394,673,105,89,189,2,109,1,0,36,0,1960.0,29.25
DeMarcus Cousins,202326,SAC,71,1614,831,207,109,91,0,251,0,0,53,0,2047.0,28.83
Chris Paul,101108,LAC,62,1185,268,663,154,4,78,145,1,0,39,0,1773.5,28.6
LeBron James,2544,MIA,77,2089,533,488,121,26,116,270,3,1,12,1,2165.5,28.12
LaMarcus Aldridge,200746,POR,69,1603,765,178,63,68,3,123,1,0,40,0,1926.0,27.91
Carmelo Anthony,2546,NYK,77,2112,622,242,95,51,167,198,5,1,22,0,2125.5,27.6
Stephen Curry,201939,GSW,78,1873,334,666,128,14,261,294,3,0,28,4,2096.0,26.87
Blake Griffin,201933,LAC,80,1930,757,309,92,51,12,224,2,0,43,1,2146.0,26.82
Al Jefferson,2744,CHA,73,1594,792,155,67,79,3,124,1,0,42,0,1956.5,26.8
Joakim Noah,201149,CHI,80,1007,900,431,99,121,0,194,0,0,47,4,2135.5,26.69
Dwight Howard,2730,HOU,71,1297,866,131,60,128,2,229,0,0,47,0,1840.5,25.92
DeAndre Jordan,201599,LAC,82,856,1114,74,80,203,0,123,0,0,42,0,2101.0,25.62
Andre Drummond,203083,DET,81,1095,1071,35,101,131,0,110,0,0,57,0,2064.5,25.49
James Harden,201935,HOU,73,1851,344,446,115,29,177,265,2,0,14,1,1845.0,25.27
Russell Westbrook,201566,OKC,46,1002,263,319,88,7,68,177,0,0,11,2,1145.0,24.89
Paul Millsap,200794,ATL,74,1328,627,232,129,78,76,185,0,0,30,1,1822.0,24.62
John Wall,202322,WAS,82,1583,333,721,149,40,108,295,0,0,29,2,2015.5,24.58
Paul George,202331,IND,80,1737,542,283,151,22,182,224,1,0,12,1,1921.5,24.02
Pau Gasol,2200,LAL,60,1041,580,201,27,92,4,141,0,0,30,0,1430.5,23.84
Kyle Lowry,200768,TOR,79,1417,369,586,121,15,190,194,0,0,18,2,1858.5,23.53
Tim Duncan,1495,SAS,74,1119,721,220,43,139,0,159,0,0,30,0,1735.5,23.45
Al Horford,201143,ATL,29,538,244,76,27,44,4,64,0,0,9,0,678.0,23.38
Michael Carter-Williams,203487,PHI,70,1167,437,441,130,43,55,247,0,0,16,2,1608.0,22.97
Serge Ibaka,201586,OKC,81,1227,709,85,39,219,23,123,0,0,29,0,1841.0,22.73
Nikola Vučević,202696,ORL,57,811,626,104,60,47,0,112,0,0,36,0,1273.5,22.34
Ty Lawson,201951,DEN,62,1090,215,543,100,10,72,200,0,0,23,0,1382.0,22.29
Kyrie Irving,202681,CLE,71,1478,259,433,108,23,123,190,3,0,7,1,1576.5,22.2
Dirk Nowitzki,1717,DAL,80,1735,498,216,73,45,131,117,1,0,6,0,1773.0,22.16
Josh Smith,2746,DET,77,1264,520,252,105,110,70,199,0,0,12,0,1682.0,21.84
Rajon Rondo,200765,BOS,30,350,164,294,40,2,26,99,0,0,13,1,646.0,21.53
Zach Randolph,2216,MEM,79,1372,795,200,54,23,2,183,0,0,47,0,1700.0,21.52
Thaddeus Young,201152,PHI,79,1417,476,182,167,36,90,165,0,0,11,0,1663.5,21.06
Marc Gasol,201188,MEM,59,859,424,215,59,76,2,111,0,0,10,0,1238.5,20.99
David Lee,101135,GSW,69,1257,643,147,48,26,0,152,0,0,34,0,1448.5,20.99
Kemba Walker,202689,CHA,73,1289,306,447,86,32,109,169,0,0,9,1,1530.0,20.96
Nicolas Batum,201587,POR,82,1070,611,420,75,57,145,208,0,0,16,2,1714.5,20.91
Jrue Holiday,201950,NOP,34,487,142,268,56,12,30,105,0,0,9,0,708.5,20.84
DeMar DeRozan,201942,TOR,79,1791,343,313,86,28,64,176,1,0,2,0,1638.5,20.74
Greg Monroe,202328,DET,82,1249,760,171,91,47,0,166,0,0,35,0,1700.5,20.74
Goran Dragic,201609,PHX,76,1542,245,447,104,22,122,213,1,0,7,0,1571.0,20.67
Marcin Gortat,101162,WAS,81,1068,767,138,41,121,1,126,0,0,37,0,1674.5,20.67
Damian Lillard,203081,POR,82,1695,288,457,64,22,218,193,1,0,6,0,1687.5,20.58
Rudy Gay,200752,SAC,73,1457,437,209,95,56,65,224,1,0,11,0,1497.0,20.51
Ricky Rubio,201937,MIN,82,781,342,704,191,11,44,221,0,0,15,2,1660.5,20.25
Isaiah Thomas,202738,SAC,72,1465,210,454,93,8,127,213,0,0,7,1,1458.0,20.25
Eric Bledsoe,202339,PHX,43,763,202,235,69,14,50,143,0,0,4,0,870.5,20.24
Brook Lopez,201572,BKN,17,352,102,16,9,30,0,28,0,0,0,0,344.0,20.24
Spencer Hawes,201150,CLE,80,1053,660,240,44,94,128,173,0,0,25,0,1618.5,20.23
Derrick Favors,202324,UTA,73,970,637,91,75,108,0,129,0,0,25,0,1475.0,20.21
