Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kevin Garnett,MIN,82,1987,1139,409,120,178,11,212,0,0,71,2,3006.0,36.66
Tim Duncan,SAS,69,1538,859,213,62,185,2,183,1,0,56,0,2210.0,32.03
Shaquille O'Neal,LAL,67,1439,769,196,34,166,0,195,0,0,43,0,1932.5,28.84
Tracy McGrady,ORL,67,1878,402,370,93,42,174,179,8,2,12,0,1911.0,28.52
Elton Brand,LAC,69,1379,714,227,64,154,0,193,0,0,40,0,1913.5,27.73
Shawn Marion,PHX,79,1498,737,214,167,104,90,156,0,0,35,0,2166.0,27.42
Ben Wallace,DET,81,773,1006,138,143,246,1,123,0,0,34,0,2220.0,27.41
Baron Davis,NOH,67,1532,287,501,158,27,187,215,0,0,22,0,1824.5,27.23
Jermaine O'Neal,IND,78,1566,778,164,59,199,2,181,0,0,44,0,2105.0,26.99
Andrei Kirilenko,UTA,78,1284,629,244,150,215,68,215,0,0,25,0,2089.0,26.78
Dirk Nowitzki,DAL,77,1680,670,207,92,104,99,135,2,0,31,0,2056.5,26.71
Jason Kidd,NJN,67,1036,428,618,122,14,94,214,0,0,34,9,1721.0,25.69
Allen Iverson,PHI,48,1266,178,324,115,5,57,209,3,1,8,0,1206.5,25.14
Kobe Bryant,LAL,65,1557,359,330,112,28,71,171,3,0,10,1,1627.0,25.03
Paul Pierce,BOS,80,1836,522,410,131,52,115,303,1,0,19,1,1992.5,24.91
Chris Webber,SAC,23,430,200,105,31,20,1,60,0,0,8,0,570.5,24.8
Brad Miller,SAC,72,1014,743,312,68,86,12,144,0,0,32,2,1768.0,24.56
Lamar Odom,MIA,80,1371,776,327,85,71,61,236,0,0,37,1,1934.0,24.18
Donyell Marshall,TOR,82,1205,808,122,93,124,131,117,0,0,38,0,1953.0,23.82
LeBron James,CLE,79,1654,432,465,130,58,63,273,1,0,12,0,1871.5,23.69
Kenyon Martin,NJN,65,1086,617,160,95,82,7,168,0,0,27,0,1536.5,23.64
Stephon Marbury,NYK,81,1639,263,719,129,9,87,249,2,0,26,0,1900.0,23.46
Amar'e Stoudemire,PHX,55,1133,496,78,64,89,1,177,0,0,19,0,1289.0,23.44
Carlos Boozer,CLE,75,1162,857,148,74,55,1,134,0,0,41,0,1751.5,23.35
Peja Stojakovic,SAC,81,1964,508,173,108,14,240,153,1,0,9,0,1884.0,23.26
Ray Allen,SEA,56,1287,286,268,71,11,148,156,3,0,6,1,1290.5,23.04
Marcus Camby,DEN,72,622,727,132,86,187,0,98,0,0,19,0,1637.0,22.74
Vince Carter,TOR,73,1645,349,348,88,65,93,223,3,0,7,0,1659.0,22.73
Zach Randolph,POR,81,1626,851,163,68,41,1,247,0,0,43,0,1841.5,22.73
Erick Dampier,GSW,74,913,887,60,33,137,0,131,0,0,42,0,1654.5,22.36
Pau Gasol,MEM,78,1381,600,198,44,132,4,187,0,0,24,0,1679.5,21.53
Sam Cassell,MIN,81,1603,271,592,102,18,74,220,0,0,18,1,1741.5,21.5
Metta World Peace,IND,73,1333,385,272,152,50,75,202,0,0,4,0,1567.0,21.47
Antoine Walker,DAL,82,1151,684,369,65,65,82,202,0,0,27,2,1758.5,21.45
Yao Ming,HOU,82,1431,735,122,22,156,0,204,1,0,33,0,1758.5,21.45
Rasheed Wallace,DET,68,1088,459,156,61,122,82,119,0,0,10,0,1457.0,21.43
Steve Francis,HOU,79,1310,433,493,139,35,73,294,0,0,11,0,1682.5,21.3
Zydrunas Ilgauskas,CLE,81,1237,653,109,39,201,2,163,0,0,22,0,1720.5,21.24
Gilbert Arenas,WAS,55,1078,254,275,103,12,125,226,1,0,7,3,1148.5,20.88
Rashard Lewis,SEA,80,1421,518,175,99,54,145,135,1,1,6,0,1655.0,20.69
Karl Malone,LAL,42,554,367,163,50,20,0,103,0,0,15,1,861.0,20.5
Jason Richardson,GSW,78,1461,524,226,86,41,77,196,0,0,11,0,1588.0,20.36
Carmelo Anthony,DEN,82,1725,498,227,97,41,69,247,1,0,11,0,1663.0,20.28
Michael Finley,DAL,72,1342,325,212,84,39,150,83,0,0,3,0,1449.0,20.12
Mike Bibby,SAC,82,1506,277,444,112,18,148,175,0,0,5,0,1638.0,19.98
Jamaal Magloire,NOH,82,1119,847,86,43,101,0,201,0,0,45,0,1624.5,19.81
Jamal Mashburn,NOH,19,396,117,47,14,5,19,37,0,0,3,0,375.5,19.76
Kenny Thomas,PHI,74,1006,750,111,82,33,1,172,0,0,34,0,1456.5,19.68
Andre Miller,DEN,82,1214,366,501,142,25,12,215,0,0,11,1,1612.0,19.66
Richard Jefferson,NJN,82,1515,464,315,92,28,48,198,0,0,9,0,1611.5,19.65
Michael Redd,MIL,82,1776,407,185,81,6,127,116,2,0,2,0,1605.5,19.58
Jason Terry,ATL,81,1359,336,437,124,16,146,229,0,0,5,0,1581.5,19.52
Jamal Crawford,CHI,80,1383,283,405,111,29,165,193,2,1,2,0,1554.0,19.43
Larry Hughes,WAS,61,1148,326,148,95,26,79,152,1,0,3,0,1181.5,19.37
