Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,201566,OKC,81,2558,864,840,132,31,200,438,18,4,62,42,3139.0,38.75
James Harden,201935,HOU,81,2356,659,907,121,38,262,464,11,2,64,22,2850.0,35.19
Anthony Davis,203076,NOP,75,2099,884,157,94,167,40,181,8,1,49,0,2509.5,33.46
DeMarcus Cousins,202326,NOP,72,1942,794,332,100,93,131,269,5,1,46,2,2335.5,32.44
LeBron James,2544,CLE,74,1954,639,646,92,44,124,303,2,0,42,13,2363.0,31.93
Giannis Antetokounmpo,203507,MIL,80,1832,700,434,131,151,49,234,1,0,32,3,2443.5,30.54
Karl-Anthony Towns,1626157,MIN,82,2061,1007,220,56,103,101,212,3,0,62,1,2481.0,30.26
Kevin Durant,201142,GSW,62,1555,513,300,66,99,117,138,1,0,23,1,1867.0,30.11
John Wall,202322,WAS,78,1805,326,831,157,49,89,322,2,1,50,0,2247.0,28.81
Hassan Whiteside,202355,MIA,77,1309,1088,57,57,161,0,154,0,0,58,0,2139.5,27.79
Jimmy Butler III,202710,CHI,76,1816,470,417,143,32,91,159,5,1,15,2,2056.5,27.06
Stephen Curry,201939,GSW,79,1999,353,524,142,17,324,239,5,0,9,0,2131.5,26.98
Chris Paul,101108,LAC,61,1104,304,563,119,8,124,147,0,0,24,1,1614.0,26.46
Rudy Gobert,203497,UTA,81,1137,1035,97,49,214,0,147,0,0,58,0,2137.5,26.39
Kawhi Leonard,202695,SAS,74,1888,430,260,133,55,147,154,1,0,9,0,1939.5,26.21
Andre Drummond,203083,DET,81,1105,1115,90,124,89,2,152,0,0,49,0,2081.5,25.7
Damian Lillard,203081,POR,75,2024,368,440,68,20,214,197,5,1,11,0,1923.0,25.64
Kyle Lowry,200768,TOR,60,1344,286,417,88,19,193,173,1,0,11,1,1526.5,25.44
Draymond Green,203110,GSW,76,776,599,533,154,106,81,184,0,0,17,5,1923.5,25.31
Nikola Jokić,203999,DEN,73,1221,718,359,61,55,45,171,1,0,39,6,1823.0,24.97
DeAndre Jordan,201599,LAC,81,1029,1114,96,51,134,0,115,0,0,41,0,2020.5,24.94
Kevin Love,201567,CLE,60,1142,666,116,53,21,145,122,1,0,41,0,1493.5,24.89
Blake Griffin,201933,LAC,61,1316,497,300,57,22,38,142,1,0,19,1,1512.0,24.79
Isaiah Thomas,202738,BOS,76,2199,204,448,70,13,245,210,5,1,5,0,1841.0,24.22
Paul George,202331,IND,75,1775,492,251,119,27,195,220,1,0,11,0,1812.0,24.16
Joel Embiid,203954,PHI,31,627,243,66,27,76,36,117,0,0,9,0,738.5,23.82
Marc Gasol,201188,MEM,74,1446,464,338,67,99,104,166,1,0,11,2,1759.0,23.77
