Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,201566,OKC,80,1878,626,834,163,20,101,342,4,0,54,18,2567.5,32.09
DeMarcus Cousins,202326,SAC,65,1748,747,214,101,92,70,249,4,1,47,1,2061.0,31.71
Stephen Curry,201939,GSW,79,2375,430,527,169,15,402,262,13,3,15,2,2486.5,31.47
James Harden,201935,HOU,82,2376,501,612,139,51,236,374,12,1,23,3,2467.0,30.09
Anthony Davis,203076,NOP,61,1481,627,116,78,125,35,121,3,1,36,0,1826.0,29.93
Kevin Durant,201142,OKC,72,2029,589,361,69,85,186,250,3,0,27,1,2147.5,29.83
LeBron James,2544,CLE,76,1920,565,514,104,49,87,249,0,0,28,3,2173.5,28.6
Andre Drummond,203083,DET,81,1314,1198,67,119,112,2,155,0,0,66,0,2296.0,28.35
John Wall,202322,WAS,77,1531,379,789,145,59,115,318,1,0,49,4,2139.0,27.78
Draymond Green,203110,GSW,81,1131,769,598,119,113,100,259,0,0,33,13,2246.5,27.73
Pau Gasol,2200,CHI,72,1187,793,294,42,146,24,164,0,0,46,2,1954.5,27.15
Chris Paul,101108,LAC,74,1446,310,738,152,13,122,194,1,0,38,0,2007.0,27.12
Hassan Whiteside,202355,MIA,73,1040,865,29,44,269,0,137,0,0,41,3,1950.0,26.71
DeAndre Jordan,201599,LAC,77,980,1059,90,51,177,0,107,0,0,49,0,2037.0,26.45
Paul Millsap,200794,ATL,81,1385,732,265,147,139,74,191,0,0,32,0,2139.5,26.41
Kyle Lowry,200768,TOR,77,1634,365,494,158,34,212,225,2,0,12,1,1957.0,25.42
Paul George,202331,IND,81,1874,563,329,152,29,210,265,3,0,15,0,2049.0,25.3
Kawhi Leonard,202695,SAS,72,1523,493,186,128,71,129,105,0,0,12,0,1810.0,25.14
Rajon Rondo,200765,SAC,72,859,435,839,141,10,62,278,0,0,37,6,1807.5,25.1
Karl-Anthony Towns,1626157,MIN,82,1503,858,161,58,138,30,183,0,0,52,0,2046.5,24.96
Blake Griffin,201933,LAC,35,749,294,170,28,17,6,83,1,0,13,0,862.5,24.64
Damian Lillard,203081,POR,75,1879,302,512,65,28,229,242,4,2,15,0,1833.0,24.44
Carmelo Anthony,2546,NYK,72,1573,556,299,62,38,105,176,0,0,22,0,1740.0,24.17
Jimmy Butler III,202710,CHI,67,1399,358,321,110,43,64,132,3,1,10,2,1602.5,23.92
Giannis Antetokounmpo,203507,MIL,80,1350,612,345,94,113,28,208,0,0,21,5,1883.0,23.54
Dwight Howard,2730,HOU,71,976,835,98,69,113,0,166,0,0,38,0,1657.0,23.34
Kemba Walker,202689,CHA,81,1689,357,421,126,39,182,171,2,1,3,0,1878.5,23.19
Brook Lopez,201572,BKN,73,1501,573,146,58,124,2,175,0,0,26,0,1685.5,23.09
Nikola Vučević,202696,ORL,65,1181,576,179,53,70,2,123,0,0,29,0,1498.5,23.05
Eric Bledsoe,202339,PHX,31,632,125,190,63,19,48,110,0,0,3,0,712.0,22.97
Kevin Love,201567,CLE,77,1234,762,185,58,41,158,142,0,0,35,0,1734.0,22.52
Al Horford,201143,ATL,82,1249,596,263,68,121,88,107,0,0,17,0,1815.5,22.14
Derrick Favors,202324,UTA,62,1016,503,94,74,91,0,104,0,0,19,0,1350.0,21.77
Marc Gasol,201188,MEM,52,861,362,196,50,70,2,118,0,0,9,1,1122.5,21.59
Chris Bosh,2547,MIA,53,1010,390,128,36,34,81,78,0,0,15,0,1140.5,21.52
Rudy Gobert,203497,UTA,61,557,668,91,45,135,0,114,0,0,20,0,1303.5,21.37
LaMarcus Aldridge,200746,SAS,74,1331,632,110,38,81,0,99,0,0,26,0,1572.5,21.25
Isaiah Thomas,202738,BOS,82,1823,243,509,91,9,167,220,0,0,7,0,1734.0,21.15
Thaddeus Young,201152,BKN,73,1102,660,136,112,37,7,136,0,0,28,0,1540.5,21.1
Greg Monroe,202328,MIL,79,1210,696,178,72,67,0,129,0,0,32,0,1660.0,21.01
DeMar DeRozan,201942,TOR,78,1830,349,315,81,21,47,175,0,0,3,0,1634.5,20.96
Marcin Gortat,101162,WAS,75,1012,741,106,47,96,0,121,0,0,41,0,1559.0,20.79
Nicolas Batum,201587,CHA,70,1046,428,403,65,43,139,205,0,0,11,2,1449.5,20.71
Ricky Rubio,201937,MIN,76,766,326,658,162,10,62,193,0,0,14,0,1563.0,20.57
Tyreke Evans,201936,NOP,25,379,129,164,32,8,33,73,0,0,6,0,512.0,20.48
Kristaps Porziņģis,204001,NYK,72,1028,526,94,53,134,81,121,0,0,21,0,1448.5,20.12
Victor Oladipo,203506,ORL,72,1153,345,282,116,54,98,153,1,0,3,1,1445.5,20.08
Dirk Nowitzki,1717,DAL,75,1372,489,132,52,52,126,84,1,0,10,0,1505.0,20.07
Dahntay Jones,2563,CLE,1,13,5,2,1,2,1,0,0,0,0,0,20.0,20.0
Gordon Hayward,202330,UTA,80,1578,397,296,95,27,143,202,0,0,4,0,1599.5,19.99
Nerlens Noel,203457,PHI,67,747,542,122,118,100,1,158,0,0,16,0,1332.0,19.88
Rudy Gay,200752,SAC,70,1204,456,120,100,51,74,139,0,0,7,0,1385.0,19.79
Klay Thompson,202691,GSW,80,1771,306,166,60,49,276,138,4,0,0,0,1579.5,19.74
CJ McCollum,203468,POR,80,1666,259,341,97,23,197,196,0,0,2,0,1577.5,19.72
Brandon Knight,202688,PHX,52,1018,202,263,61,20,120,177,0,0,4,1,1025.0,19.71
Khris Middleton,203114,MIL,79,1434,302,331,131,19,143,180,0,0,1,0,1542.5,19.53
