Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Demetrius Jackson,PHI,15,16,12,9,5,1,1,10,0,0,0,0,31.5,2.1
Xavier Silas,BOS,2,0,2,0,1,0,0,0,0,0,0,0,4.0,2.0
Gordon Hayward,BOS,1,2,1,0,0,0,0,0,0,0,0,0,2.0,2.0
Larry Drew II,NOP,10,17,3,10,0,0,3,3,0,0,0,0,20.0,2.0
Markel Brown,HOU,4,5,5,2,0,0,1,2,0,0,0,0,8.0,2.0
Naz Mitrou-Long,UTA,1,3,0,0,0,0,1,0,0,0,0,0,2.0,2.0
Edmond Sumner,IND,1,2,1,0,0,0,0,0,0,0,0,0,2.0,2.0
Kyle Singler,OKC,12,23,10,2,1,0,2,3,0,0,0,0,23.5,1.96
Ike Anigbogu,IND,11,13,9,0,1,3,0,2,0,0,0,0,21.5,1.95
Georges Niang,UTA,9,9,9,3,2,0,0,3,0,0,0,0,17.5,1.94
Kadeem Allen,BOS,18,19,11,12,3,2,0,9,0,0,0,0,33.5,1.86
Darrun Hilliard,SAS,14,16,7,11,2,0,0,4,0,0,0,0,26.0,1.86
Tony Bradley,UTA,9,8,11,1,0,0,0,0,0,0,0,0,16.0,1.78
Vincent Hunter,MEM,4,6,3,0,0,1,0,1,0,0,0,0,7.0,1.75
Jake Layman,POR,35,34,16,11,6,4,4,5,0,0,0,0,61.0,1.74
David Stockton,UTA,3,10,0,0,0,0,2,1,0,0,0,0,5.0,1.67
Josh Smith,NOP,3,2,4,0,0,0,0,0,0,0,0,0,5.0,1.67
Alex Poythress,IND,25,26,17,2,3,1,4,2,0,0,0,0,40.0,1.6
Udonis Haslem,MIA,14,8,10,5,0,2,1,2,0,0,0,0,21.5,1.54
Marcus Georges-Hunt,MIN,42,59,16,7,6,0,4,3,0,0,0,0,63.5,1.51
Alfonzo McKinnie,TOR,14,21,7,1,1,1,3,3,0,0,0,0,21.0,1.5
Cole Aldrich,MIN,21,12,15,3,2,1,0,1,0,0,0,0,29.0,1.38
Tim Quarterman,HOU,3,4,3,1,0,0,0,2,0,0,0,0,4.0,1.33
D.J. Wilson,MIL,22,21,10,3,3,1,2,4,0,0,0,0,28.5,1.3
London Perrantes,CLE,14,7,4,5,2,1,0,1,0,0,0,0,17.5,1.25
Xavier Munford,MIL,6,3,1,4,1,0,0,2,0,0,0,0,6.5,1.08
Matt Williams Jr.,MIA,3,5,1,0,0,0,1,1,0,0,0,0,3.0,1.0
Jarell Eddie,CHI,3,0,1,0,1,0,0,0,0,0,0,0,3.0,1.0
Chris Boucher,GSW,1,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0
Jeremy Evans,ATL,1,2,1,0,0,0,0,1,0,0,0,0,1.0,1.0
Derrick Williams,LAL,2,2,1,0,0,0,0,0,0,0,0,0,2.0,1.0
Ben Moore,IND,2,0,1,1,0,0,0,0,0,0,0,0,2.0,1.0
Vander Blue,LAL,5,3,1,3,1,0,0,3,0,0,0,0,4.5,0.9
Nate Wolters,UTA,5,2,2,1,0,0,0,0,0,0,0,0,4.0,0.8
Nicolas Brussino,ATL,4,0,3,0,0,0,0,0,0,0,0,0,3.0,0.75
Reggie Hearn,DET,3,3,0,0,0,0,1,0,0,0,0,0,2.0,0.67
Charles Cooke,NOP,13,6,2,1,1,0,1,1,0,0,0,0,7.5,0.58
Erik McCree,UTA,4,0,1,0,1,0,0,1,0,0,0,0,2.0,0.5
Scotty Hopson,DAL,1,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5
PJ Dozier,OKC,2,2,1,0,0,0,0,1,0,0,0,0,1.0,0.5
Mindaugas Kuzminskas,NYK,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Josh McRoberts,DAL,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Jacob Pullen,PHI,3,2,0,0,0,0,0,1,0,0,0,0,0.0,0.0
Tyler Lydon,DEN,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Trey McKinney-Jones,IND,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Luis Montero,DET,2,0,2,0,0,0,0,2,0,0,0,0,0.0,0.0
