Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Mirza Teletovic,MIL,10,71,23,10,4,1,21,7,0,0,0,0,82.0,8.2
Kevon Looney,GSW,66,267,215,42,34,56,1,31,0,0,0,0,540.0,8.18
Thon Maker,MIL,74,356,225,46,38,53,31,44,0,0,0,0,602.5,8.14
Tyler Dorsey,ATL,56,405,130,79,17,5,72,37,0,0,0,0,454.5,8.12
Cristiano Felicio,CHI,55,308,233,55,16,11,0,54,0,0,3,0,445.0,8.09
Doug McDermott,DAL,81,630,200,79,19,16,92,56,0,0,0,0,654.0,8.07
Isaiah Taylor,ATL,67,445,94,206,34,10,20,84,0,0,0,0,536.5,8.01
Devin Robinson,WAS,1,2,5,0,1,0,0,0,0,0,0,0,8.0,8.0
Omari Johnson,MEM,4,22,11,7,2,0,4,3,0,0,0,0,32.0,8.0
Ian Mahinmi,WAS,77,366,312,53,38,42,0,100,0,0,1,0,609.0,7.91
Troy Daniels,PHX,79,703,127,48,26,5,183,56,0,0,0,0,624.0,7.9
Ekpe Udoh,UTA,63,162,150,53,43,74,0,20,0,0,0,0,498.0,7.9
Willy Hernangomez,CHA,48,246,183,33,18,16,5,35,0,0,4,0,378.5,7.89
OG Anunoby,TOR,74,438,184,55,52,14,73,45,0,0,0,0,581.5,7.86
Jack Cooley,SAC,7,40,30,6,1,0,0,3,0,0,0,0,55.0,7.86
Jonas Jerebko,UTA,74,429,246,42,24,12,65,27,0,0,0,0,580.0,7.84
Corey Brewer,OKC,72,380,154,65,79,14,31,49,0,0,0,0,561.5,7.8
Tim Frazier,WAS,59,176,115,194,47,7,17,57,0,0,0,0,456.5,7.74
Ian Clark,NOP,74,551,127,110,33,10,62,57,0,0,0,0,572.5,7.74
Miles Plumlee,ATL,55,237,228,45,17,30,0,63,0,0,1,0,423.5,7.7
Kyle Collinsworth,DAL,32,101,107,56,17,9,4,24,0,0,1,0,244.5,7.64
Cheick Diallo,NOP,52,254,211,19,11,21,0,28,0,0,3,0,396.0,7.62
Dwight Buycks,DET,29,215,41,59,19,2,15,39,0,0,0,0,218.0,7.52
Aaron Jackson,HOU,1,8,3,1,0,0,1,1,0,0,0,0,7.5,7.5
