Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Russell Westbrook,WAS,65,1445,750,763,89,23,86,312,3,0,59,38,2328.5,35.82
Nikola Jokić,DEN,72,1898,780,599,95,48,92,222,5,1,60,16,2536.0,35.22
Giannis Antetokounmpo,MIL,61,1717,671,357,72,73,67,207,5,0,41,7,2063.0,33.82
James Harden,BKN,44,1083,348,475,53,33,121,177,3,0,32,12,1479.0,33.61
Luka Dončić,DAL,66,1830,527,567,64,36,192,281,4,0,26,11,2076.0,31.45
Nikola Vučević,CHI,70,1639,817,269,65,48,176,126,2,0,48,2,2147.5,30.68
Joel Embiid,PHI,51,1451,539,145,50,69,58,159,5,1,31,0,1554.5,30.48
Domantas Sabonis,IND,62,1260,742,415,76,33,52,213,0,0,48,9,1884.0,30.39
Karl-Anthony Towns,MIN,50,1239,529,225,39,57,122,160,1,0,33,0,1500.5,30.01
Stephen Curry,GSW,63,2015,345,363,77,8,337,213,11,3,8,0,1863.0,29.57
LeBron James,LAL,45,1126,346,350,48,25,104,168,1,0,18,5,1318.0,29.29
Julius Randle,NYK,71,1712,724,427,64,18,160,241,3,0,41,6,2066.0,29.1
Kevin Durant,BKN,35,943,247,195,25,45,85,120,3,0,12,0,991.0,28.31
Jimmy Butler III,MIA,52,1116,359,369,108,18,25,109,0,0,17,4,1466.5,28.2
Damian Lillard,POR,67,1928,283,505,62,17,275,203,6,1,16,0,1867.5,27.87
Clint Capela,ATL,63,956,903,49,44,129,0,73,0,0,48,1,1753.0,27.83
Kyrie Irving,BKN,54,1451,257,324,76,37,152,130,5,0,8,0,1491.5,27.62
Rudy Gobert,UTA,71,1015,960,89,40,190,0,118,0,0,49,0,1947.5,27.43
Jayson Tatum,BOS,64,1692,472,276,75,31,187,171,4,2,15,1,1751.5,27.37
Kawhi Leonard,LAC,52,1292,337,269,81,21,101,105,0,0,9,0,1410.5,27.12
Anthony Davis,LAL,36,786,286,110,45,59,26,74,1,0,12,0,949.0,26.36
Bam Adebayo,MIA,64,1197,573,346,75,66,2,169,1,0,33,2,1669.5,26.09
Bradley Beal,WAS,60,1878,283,265,69,22,130,187,8,2,4,0,1561.0,26.02
Trae Young,ATL,63,1594,245,594,53,12,136,261,4,0,28,0,1605.0,25.48
De'Aaron Fox,SAC,58,1461,203,417,87,27,103,174,3,0,11,0,1470.0,25.34
Christian Wood,HOU,41,860,395,71,34,48,77,80,0,0,19,0,1037.5,25.3
Jonas Valančiūnas,MEM,62,1058,776,112,35,57,21,100,0,0,49,0,1560.5,25.17
Zion Williamson,NOP,61,1647,441,226,57,39,10,167,0,0,14,0,1534.5,25.16
Paul George,LAC,54,1259,359,280,62,24,171,179,0,0,9,0,1356.0,25.11
Fred VanVleet,TOR,52,1019,220,328,87,37,174,95,1,1,5,0,1304.5,25.09
Pascal Siakam,TOR,56,1196,405,250,64,37,73,130,1,0,13,1,1377.5,24.6
Zach LaVine,CHI,58,1591,289,282,46,27,200,203,5,1,3,0,1418.5,24.46
Kristaps Porziņģis,DAL,43,865,381,68,20,58,97,51,0,0,16,0,1051.0,24.44
Donovan Mitchell,UTA,53,1401,235,277,52,15,178,147,4,0,2,0,1294.5,24.42
Andre Drummond,LAL,46,687,551,94,63,49,0,124,0,0,28,0,1116.5,24.27
Jaylen Brown,BOS,58,1430,347,195,72,32,163,158,3,0,10,0,1401.5,24.16
Chris Paul,PHX,70,1149,312,622,99,19,102,156,0,0,25,1,1666.5,23.81
CJ McCollum,POR,47,1087,185,223,44,21,169,65,1,0,2,0,1104.0,23.49
Shai Gilgeous-Alexander,OKC,35,830,166,207,27,23,71,106,1,0,3,0,821.5,23.47
Malcolm Brogdon,IND,56,1186,294,329,49,15,145,115,0,0,6,0,1307.5,23.35
