Player,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,DEN,70,2071,892,716,127,45,138,230,10,2,59,34,2965.5,42.36
Giannis Antetokounmpo,MIL,67,2036,798,433,58,78,14,206,5,1,55,11,2405.0,35.9
Victor Wembanyama,SAS,46,1116,506,168,52,176,142,149,3,1,28,1,1644.0,35.74
Luka Dončić,LAL,50,1408,409,383,89,21,177,179,4,0,21,5,1660.5,33.21
Anthony Davis,DAL,51,1261,590,181,59,110,35,113,3,0,36,1,1685.0,33.04
Shai Gilgeous-Alexander,OKC,76,2484,379,486,131,77,163,183,13,4,6,0,2444.5,32.16
Karl-Anthony Towns,NYK,72,1759,920,222,71,50,142,192,5,0,58,1,2207.5,30.66
Jayson Tatum,BOS,72,1932,623,431,76,38,250,209,4,0,31,2,2203.0,30.6
Domantas Sabonis,SAC,70,1337,972,423,48,26,65,202,0,0,61,10,2123.0,30.33
LeBron James,LAL,70,1710,546,575,70,39,149,260,2,0,32,10,2062.5,29.46
Cade Cunningham,DET,70,1830,425,638,71,53,149,309,2,0,31,9,2042.5,29.18
James Harden,LAC,79,1802,456,687,118,55,235,341,4,1,38,3,2215.5,28.04
Jalen Johnson,ATL,36,680,359,181,56,36,44,106,0,0,20,1,1002.0,27.83
Trae Young,ATL,76,1841,236,880,91,12,218,355,1,0,51,0,2048.5,26.95
Alperen Sengun,HOU,76,1451,786,372,84,61,21,194,0,0,45,4,2043.0,26.88
Anthony Edwards,MIN,79,2177,450,359,91,51,320,249,9,1,7,0,2109.5,26.7
Tyrese Haliburton,IND,73,1359,258,673,105,49,218,120,0,0,31,0,1938.5,26.55
Zion Williamson,NOP,30,737,216,159,37,27,3,90,1,0,8,2,796.0,26.53
Ivica Zubac,LAC,80,1340,1010,214,55,90,0,127,0,0,59,1,2118.0,26.48
LaMelo Ball,CHA,47,1184,232,346,54,13,179,167,2,1,13,0,1242.5,26.44
Tyrese Maxey,PHI,52,1369,174,317,91,21,161,124,4,0,8,1,1370.0,26.35
Paolo Banchero,ORL,46,1191,345,219,36,28,87,136,4,1,11,0,1211.0,26.33
Damian Lillard,MIL,58,1447,272,410,70,10,197,162,2,0,14,2,1522.0,26.24
Scottie Barnes,TOR,65,1252,502,378,93,63,76,184,0,0,26,1,1700.0,26.15
Kevin Durant,PHX,62,1647,374,263,50,77,160,190,2,0,5,0,1611.5,25.99
Nikola Vučević,CHI,73,1349,735,256,61,52,129,119,1,0,45,1,1885.0,25.82
Bam Adebayo,MIA,78,1410,749,337,98,53,79,161,0,0,38,1,2011.5,25.79
Evan Mobley,CLE,71,1316,659,226,61,113,85,145,1,0,37,0,1826.5,25.73
Joel Embiid,PHI,19,452,155,85,14,18,23,62,0,0,7,1,488.5,25.71
Stephen Curry,GSW,70,1718,310,421,80,30,311,200,3,2,9,0,1779.5,25.42
Josh Hart,NYK,77,1051,737,453,119,27,84,158,0,0,34,9,1943.5,25.24
Dejounte Murray,NOP,31,542,200,228,63,12,52,106,0,0,8,1,779.0,25.13
De'Aaron Fox,SAS,62,1459,298,392,91,25,118,174,2,1,9,0,1548.5,24.98
Josh Giddey,CHI,70,1022,566,503,84,45,105,202,0,0,30,7,1732.5,24.75
Devin Booker,PHX,75,1923,305,529,67,16,183,220,5,0,16,0,1854.0,24.72
Jalen Williams,OKC,69,1490,369,354,111,46,124,150,1,0,3,0,1698.0,24.61
Kyrie Irving,DAL,50,1234,240,231,66,23,144,111,3,0,0,0,1230.0,24.6
Walker Kessler,UTA,58,641,707,97,36,138,6,86,0,0,28,0,1417.5,24.44
Franz Wagner,ORL,60,1449,342,284,75,21,104,138,0,0,3,0,1459.5,24.32
Donovan Mitchell,CLE,71,1701,322,354,95,17,233,149,1,0,6,0,1725.0,24.3
Jalen Brunson,NYK,65,1690,187,475,60,8,152,164,3,1,14,0,1573.0,24.2
Tyler Herro,MIA,77,1840,399,424,69,17,251,198,3,0,9,0,1854.5,24.08
Miles Bridges,CHA,64,1300,481,248,44,45,141,136,1,0,14,1,1508.5,23.57
Jamal Murray,DEN,67,1436,261,403,91,33,156,138,2,1,5,0,1578.0,23.55
Dyson Daniels,ATL,76,1073,449,333,229,55,80,155,0,0,9,0,1780.5,23.43
Ja Morant,MEM,50,1159,205,364,61,12,88,185,1,0,13,1,1169.5,23.39
Jaren Jackson Jr.,MEM,74,1641,417,148,92,113,146,153,1,0,6,0,1722.5,23.28
Kawhi Leonard,LAC,37,796,219,116,59,17,78,72,0,0,5,0,857.0,23.16
Kristaps Porziņģis,BOS,42,818,284,87,31,63,103,53,0,0,6,0,972.5,23.15
Desmond Bane,ORL,69,1327,418,369,80,28,164,169,1,0,10,1,1592.5,23.08
Mark Williams,CHA,44,671,447,109,32,54,0,71,0,0,21,0,1013.5,23.03
Amen Thompson,HOU,69,970,564,265,97,89,25,138,0,0,21,3,1587.5,23.01
Jakob Poeltl,TOR,57,824,547,158,66,71,1,111,0,0,23,0,1303.5,22.87
Jaylen Brown,BOS,63,1398,368,286,73,19,116,162,1,0,5,0,1439.0,22.84
Pascal Siakam,IND,78,1578,540,263,70,42,126,109,0,0,11,0,1781.0,22.83
