Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Kristaps Porziņģis,25,417,121,67,16,36,43,27,0,0,1,0,496.0,19.84
OG Anunoby,59,990,307,130,98,41,130,114,0,0,4,0,1165.0,19.75
Andrew Nembhard,55,938,156,417,50,7,103,133,0,0,11,0,1085.5,19.74
Jabari Smith Jr.,67,1035,453,125,53,61,147,87,0,0,12,0,1322.0,19.73
Jalen Suggs,47,650,178,247,87,35,94,120,0,0,3,1,926.0,19.7
Jrue Holiday,44,697,198,274,48,5,105,121,0,0,7,0,865.0,19.66
Mikal Bridges,73,1071,296,285,97,60,144,75,0,0,1,0,1428.5,19.57
Norman Powell,54,1200,195,139,63,13,149,107,0,0,1,0,1054.5,19.53
Miles Bridges,67,1154,393,219,41,30,133,99,0,0,7,0,1305.5,19.49
Trae Young,15,269,30,120,13,2,27,39,0,0,3,0,292.0,19.47
Andrew Wiggins,59,926,297,162,68,60,116,91,0,0,2,0,1147.0,19.44
RJ Barrett,47,896,249,155,35,15,83,80,0,0,0,0,913.5,19.44
Santi Aldama,43,602,287,126,37,31,70,55,0,0,5,0,835.0,19.42
Matas Buzelis,71,1154,400,144,50,106,164,143,1,0,3,0,1376.0,19.38
Darius Garland,36,675,86,249,32,4,97,104,1,0,6,0,696.0,19.33
Payton Pritchard,70,1162,280,366,53,9,181,94,1,0,4,0,1352.5,19.32
Kel'el Ware,68,755,629,42,55,75,75,58,0,0,23,0,1311.0,19.28
Nic Claxton,64,756,451,240,44,74,3,88,0,0,11,2,1233.5,19.27
P.J. Washington,53,754,368,97,55,59,71,91,0,0,7,0,1021.5,19.27
Kyshawn George,48,710,245,214,48,43,99,125,0,0,3,0,923.5,19.24
Saddiq Bey,66,1150,376,171,61,5,134,61,1,0,7,0,1268.0,19.21
Keegan Murray,23,321,132,38,24,36,31,27,0,0,2,0,441.0,19.17
Grayson Allen,45,777,135,185,62,12,149,72,1,0,0,0,860.0,19.11
Shaedon Sharpe,48,1025,212,126,68,6,101,144,0,0,0,0,905.0,18.85
Naz Reid,69,943,428,160,66,68,149,111,0,0,5,0,1296.0,18.78
Aaron Gordon,31,515,183,79,18,8,55,33,1,1,4,0,572.0,18.45
Collin Gillespie,72,957,298,340,92,14,220,115,0,0,2,0,1325.5,18.41
CJ McCollum,68,1275,228,256,53,28,170,124,2,0,0,0,1246.5,18.33
Anthony Black,60,917,232,229,86,41,96,125,0,0,2,0,1098.5,18.31
Neemias Queta,68,672,564,104,57,86,0,71,0,0,14,0,1233.0,18.13
Ausar Thompson,63,633,363,187,123,55,6,93,0,0,3,0,1135.5,18.02
Donte DiVincenzo,72,880,314,291,97,28,212,107,0,0,1,0,1295.0,17.99
DeMar DeRozan,72,1313,213,293,78,22,43,91,1,0,1,0,1295.0,17.99
Derik Queen,72,817,489,270,69,64,21,164,0,0,10,2,1294.0,17.97
Bennedict Mathurin,44,815,246,100,35,11,69,98,0,0,3,0,785.0,17.84
