Player,PLAYER_ID,Team,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Dwight Howard,2730,ORL,54,1113,785,104,81,116,0,175,1,0,43,0,1708.5,31.64
Kevin Love,201567,MIN,55,1432,734,111,47,28,105,128,3,1,48,0,1687.5,30.68
LeBron James,2544,MIA,62,1683,492,387,115,50,54,213,2,0,23,0,1889.5,30.48
Kevin Durant,201142,OKC,66,1850,527,231,88,77,133,248,4,1,18,0,1854.5,28.1
Josh Smith,2746,ATL,66,1239,632,257,93,115,28,164,0,0,28,0,1802.5,27.31
Chris Paul,101108,LAC,60,1189,213,543,152,4,79,124,0,0,23,0,1601.0,26.68
Blake Griffin,201933,LAC,66,1368,717,210,54,48,2,150,0,0,41,0,1707.0,25.86
Al Jefferson,2744,UTA,61,1170,585,134,47,101,1,62,0,0,31,0,1569.5,25.73
Andrew Bynum,101115,LAL,60,1123,709,85,27,116,1,152,0,0,37,0,1527.0,25.45
Pau Gasol,2200,LAL,65,1129,678,237,37,88,7,142,0,0,42,1,1635.0,25.15
DeMarcus Cousins,202326,SAC,64,1160,703,102,93,75,2,170,1,0,36,0,1589.0,24.83
Kobe Bryant,977,LAL,58,1616,313,264,69,18,87,204,5,0,3,0,1406.5,24.25
Dwyane Wade,2548,MIA,49,1082,237,225,82,63,15,129,0,0,4,0,1175.5,23.99
Marc Gasol,201188,MEM,65,952,579,204,62,121,1,121,0,0,24,0,1528.5,23.52
Paul Millsap,200794,UTA,64,1061,563,150,118,52,7,112,0,0,21,0,1496.0,23.38
Derrick Rose,201565,CHI,39,852,131,307,35,28,54,119,0,0,9,0,907.0,23.26
Rajon Rondo,200765,BOS,53,630,257,620,95,3,10,193,0,0,21,6,1233.0,23.26
Deron Williams,101114,NJN,55,1154,183,481,67,20,115,219,1,1,22,0,1277.5,23.23
David Lee,101135,GSW,57,1147,545,162,54,22,0,149,0,0,27,1,1312.5,23.03
LaMarcus Aldridge,200746,POR,55,1191,442,134,51,45,2,111,0,0,13,0,1266.5,23.03
Russell Westbrook,201566,OKC,66,1558,301,362,112,21,62,239,2,0,7,0,1509.0,22.86
Carmelo Anthony,2546,NYK,55,1245,344,200,62,24,68,144,2,0,8,1,1240.5,22.55
Marcin Gortat,101162,PHX,66,1017,659,59,48,99,0,90,0,0,31,0,1461.5,22.14
Tim Duncan,1495,SAS,58,895,520,132,38,88,0,97,0,0,22,0,1276.5,22.01
Kris Humphries,2743,NJN,62,855,681,90,50,74,0,119,0,0,29,0,1356.5,21.88
John Wall,202322,WAS,66,1076,300,530,95,57,3,255,0,0,16,0,1434.5,21.73
Greg Monroe,202328,DET,66,1015,637,152,83,46,0,161,0,0,30,0,1423.5,21.57
Anderson Varejao,2760,CLE,25,271,287,43,35,17,0,45,0,0,14,0,538.5,21.54
Kevin Garnett,708,BOS,60,947,494,175,56,61,3,107,0,0,21,0,1292.0,21.53
Brandon Jennings,201943,MIL,66,1260,226,365,104,22,129,146,0,0,6,0,1397.5,21.17
Andre Iguodala,2738,PHI,62,771,381,339,107,30,76,115,0,0,8,1,1312.5,21.17
Dirk Nowitzki,1717,DAL,62,1342,418,136,42,30,78,117,2,0,11,0,1304.0,21.03
Rudy Gay,200752,MEM,65,1232,417,147,95,55,54,161,0,0,8,0,1354.0,20.83
Andrew Bogut,101106,MIL,12,136,100,31,12,24,0,24,0,0,3,0,250.0,20.83
Monta Ellis,101145,MIL,58,1181,200,346,85,18,62,177,1,0,5,0,1202.5,20.73
Paul Pierce,1718,BOS,61,1181,317,274,70,26,100,173,1,0,6,0,1257.5,20.61
Joakim Noah,201149,CHI,64,652,629,160,41,92,0,92,0,0,24,1,1315.0,20.55
Chris Bosh,2547,MIA,57,1025,452,103,51,45,10,117,0,0,11,0,1158.5,20.32
Kyle Lowry,200768,HOU,47,670,213,310,73,14,79,130,0,0,4,1,947.5,20.16
Roy Hibbert,201579,IND,65,834,572,108,32,128,0,128,0,0,21,0,1310.0,20.15
Ricky Rubio,201937,MIN,41,436,171,336,91,8,32,131,0,0,12,0,820.0,20.0
Serge Ibaka,201586,OKC,66,603,498,28,33,241,1,79,0,0,12,1,1311.0,19.86
Ryan Anderson,201583,ORL,61,980,471,54,50,26,166,57,0,0,14,0,1207.0,19.79
Tyson Chandler,2199,NYK,62,699,612,56,56,89,0,102,0,0,20,0,1225.5,19.77
Ty Lawson,201951,DEN,61,999,227,401,82,6,73,149,0,0,11,0,1202.0,19.7
Luol Deng,2736,CHI,54,828,350,157,56,36,79,96,0,0,10,0,1058.5,19.6
Tony Parker,2225,SAS,60,1095,171,463,57,5,14,153,1,0,12,0,1172.5,19.54
Amar'e Stoudemire,2405,NYK,47,823,367,52,38,45,5,112,0,0,16,0,903.0,19.21
Antawn Jamison,1712,CLE,65,1118,408,131,51,43,91,90,0,0,7,0,1248.5,19.21
Gerald Wallace,2222,NJN,58,800,386,164,85,36,46,111,0,0,9,0,1113.0,19.19
Carlos Boozer,2430,CHI,66,991,564,125,63,24,0,115,0,0,18,0,1261.5,19.11
Kyrie Irving,202681,CLE,51,944,191,275,54,20,73,160,0,0,1,0,963.5,18.89
Ersan Ilyasova,101141,MIL,60,782,529,71,42,44,51,76,0,0,20,0,1132.5,18.88
Mike Conley,201144,MEM,62,788,156,404,136,11,60,125,0,0,8,0,1161.0,18.73
Steve Nash,959,PHX,62,772,186,664,38,8,55,229,0,0,28,0,1154.5,18.62
Danny Granger,101122,IND,62,1159,307,109,62,40,123,110,0,0,0,0,1151.0,18.56
Elton Brand,1882,PHI,60,659,429,97,58,97,0,65,0,0,11,0,1111.5,18.52
Al Horford,201143,ATL,11,136,77,24,10,14,0,16,0,0,2,0,203.0,18.45
Tyreke Evans,201936,SAC,63,1037,289,283,84,29,20,171,0,0,5,0,1160.5,18.42
Chris Kaman,2549,NOH,47,616,364,101,25,77,0,129,0,0,15,0,863.0,18.36
Stephen Curry,201939,GSW,26,383,88,138,39,8,55,65,0,0,3,0,477.0,18.35
JaVale McGee,201580,DEN,61,691,477,31,35,132,0,87,0,0,15,0,1115.5,18.29
Nene,2403,WAS,39,535,291,80,42,38,0,96,0,0,8,0,710.5,18.22
Eric Gordon,201569,NOH,9,185,25,31,13,4,10,24,0,0,0,0,163.5,18.17
Joe Johnson,2207,ATL,60,1129,221,232,48,13,125,116,0,0,0,0,1086.0,18.1
Jarrett Jack,101127,NOH,45,700,176,285,31,9,39,106,0,0,5,1,811.5,18.03
Jose Calderon,101181,TOR,53,555,160,468,47,3,59,104,0,0,11,0,942.0,17.77
Andrea Bargnani,200745,TOR,31,603,172,61,18,15,34,69,0,0,2,0,550.5,17.76
Marcus Thornton,201977,SAC,51,952,188,98,71,12,107,84,0,0,1,0,898.5,17.62
Paul George,202331,IND,66,798,370,158,108,38,90,117,0,0,2,0,1149.0,17.41
James Harden,201935,OKC,62,1044,252,229,62,15,114,137,1,0,0,0,1078.0,17.39
Drew Gooden,2400,MIL,56,766,363,144,46,34,16,109,0,0,13,1,964.0,17.21
Jeremy Lin,202391,NYK,35,512,107,216,55,9,24,126,0,0,7,0,600.0,17.14
Trevor Ariza,2772,NOH,41,444,215,135,69,25,29,76,0,0,0,0,698.5,17.04
Marcus Camby,948,HOU,59,287,530,107,50,85,2,57,0,0,7,0,1001.5,16.97
Spencer Hawes,201150,PHI,37,355,270,98,16,48,3,55,0,0,8,0,628.0,16.97
Danilo Gallinari,201568,DEN,43,628,202,116,42,23,60,68,0,0,2,0,726.0,16.88
Shawn Marion,1890,DAL,63,670,465,132,67,36,20,98,0,0,12,0,1062.0,16.86
David West,2561,IND,66,842,433,140,52,46,2,93,0,0,12,0,1110.0,16.82
Jrue Holiday,201950,PHI,65,879,212,290,103,18,65,135,0,0,1,0,1082.0,16.65
Nicolas Batum,201587,POR,59,818,271,84,57,60,107,90,0,0,2,0,963.5,16.33
Jeff Teague,201952,ATL,66,831,159,321,106,37,51,134,0,0,3,0,1076.0,16.3
Zach Randolph,2216,MEM,28,324,225,48,21,4,2,40,0,0,8,0,454.0,16.21
DeAndre Jordan,201599,LAC,66,486,546,17,30,134,0,74,0,0,8,0,1068.0,16.18
Kenneth Faried,202702,DEN,46,471,352,36,34,47,0,54,0,0,12,0,743.5,16.16
Luis Scola,2449,HOU,66,1025,428,140,35,24,0,153,0,0,11,0,1056.5,16.01
Nikola Pekovic,201593,MIN,47,651,346,31,29,31,0,87,0,0,16,0,751.5,15.99
Al Harrington,1733,DEN,64,910,390,88,58,12,101,112,0,0,9,0,1020.5,15.95
Channing Frye,101112,PHX,64,674,379,88,42,70,91,63,0,0,9,0,1019.5,15.93
Emeka Okafor,2731,NOH,27,266,213,24,16,26,0,37,0,0,5,0,422.0,15.63
JR Smith,2747,NYK,35,436,136,84,54,6,67,46,0,0,0,0,545.5,15.59
Jason Kidd,467,DAL,48,299,198,264,82,10,79,91,0,0,2,0,746.0,15.54
Raymond Felton,101109,POR,60,684,149,390,78,10,62,170,0,0,6,0,924.0,15.4
Brandon Bass,101138,BOS,59,738,365,55,34,54,0,65,0,0,7,0,907.0,15.37
Manu Ginobili,1938,SAS,34,440,116,151,24,12,52,64,0,0,0,0,521.0,15.32
Jason Terry,1891,DAL,63,950,149,226,73,11,138,127,0,0,0,0,960.0,15.24
Thaddeus Young,201152,PHI,63,808,325,74,64,41,1,55,0,0,1,0,959.5,15.23
Brook Lopez,201572,NJN,5,96,18,6,1,4,0,6,0,0,0,0,76.0,15.2
Wesley Matthews,202083,POR,66,904,224,113,96,15,129,73,0,0,0,0,1002.5,15.19
Kemba Walker,202689,CHA,66,799,234,289,60,20,69,119,0,0,2,1,1002.0,15.18
Lou Williams,101150,PHI,64,956,155,221,53,18,83,71,0,0,0,0,966.5,15.1
Luke Ridnour,2557,MIN,53,639,141,252,56,16,49,96,0,0,5,0,790.0,14.91
